"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","inline-metadata-item","inline-metadata-item 2"
"https://www.youtube.com/watch?v=BTD5IUHsdZE&t=570s","https://i.ytimg.com/vi/BTD5IUHsdZE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCOODlDlXKJxUqqRr9VEX3r86K4Ag","35:30","#PubexLive 2025 - PT Bumi Serpong Damai Tbk (BSDE)","68 views","2 days ago"
"https://www.youtube.com/watch?v=3iCZLMo-wyQ","https://i.ytimg.com/vi/3iCZLMo-wyQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBMzf2rmWVAl4TTvBcl4hNNgEnkRw","45:40","#PubexLive 2025 - PT Selamat Sempurna Tbk (SMSM)","62 views","2 days ago"
"https://www.youtube.com/watch?v=LShrzN5FBHg","https://i.ytimg.com/vi/LShrzN5FBHg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDk4rflIbom03oZh4VOALbmlIH0_Q","43:20","#PubexLive 2025 - PT Jasa Marga (Persero) Tbk (JSMR)","58 views","2 days ago"
"https://www.youtube.com/watch?v=_h3OQS4hY9E","https://i.ytimg.com/vi/_h3OQS4hY9E/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCZc7ZdfXyeOMsZwme3wVvu7AQo9Q","47:47","#PubexLive 2025 - PT Telkom Indonesia (Persero) Tbk (TLKM)","47 views","2 days ago"
"https://www.youtube.com/watch?v=iC3c2VGWxSk","https://i.ytimg.com/vi/iC3c2VGWxSk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCUSR6p4SPvvnpN-9ROsN3cOPX2vw","44:49","#PubexLive 2025 - PT Semen Indonesia Tbk (SMGR)","94 views","2 days ago"
"https://www.youtube.com/watch?v=lYmT_hYteZM","https://i.ytimg.com/vi/lYmT_hYteZM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDLS1Qks0S5pgD-LNFn1vCL7CdglQ","44:52","#PubexLive 2025 - PT Kalbe Farma Tbk (KLBF)","46 views","2 days ago"
"https://www.youtube.com/watch?v=qePFgfr15m8","https://i.ytimg.com/vi/qePFgfr15m8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC1LujAhFZulOsUR1XA7Uf1Bf8G5Q","48:39","#PubexLive 2025 - PT Trimegah Karya Pratama Tbk (UVCR)","24 views","2 days ago"
"https://www.youtube.com/watch?v=ctvIunDRXLQ","https://i.ytimg.com/vi/ctvIunDRXLQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBijBCq8evOHOFs-U8s1lg21nORnA","45:48","#PubexLive 2025 - PT TBS Energi Utama Tbk (TOBA)","49 views","2 days ago"
"https://www.youtube.com/watch?v=gEPfKAzNyBw","https://i.ytimg.com/vi/gEPfKAzNyBw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDjNfUPwYDVo5o_Q8uTXoC2Lm-dEQ","33:42","#PubexLive 2025 - PT Sido Muncul Herbal Medicine and Pharmaceutical Industry Tbk (SIDO)","68 views","2 days ago"
"https://www.youtube.com/watch?v=tubRe6suRbE","https://i.ytimg.com/vi/tubRe6suRbE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB7yyKIxwHwGLvfjZSX1VivyRZLvA","46:44","#PubexLive 2025 - PT Gudang Garam Tbk (GGRM)","85 views","2 days ago"
"https://www.youtube.com/watch?v=LXU6D4GaWuY","https://i.ytimg.com/vi/LXU6D4GaWuY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBqZn0pMYiYGlQEXgciPmRQ69S-Yg","44:14","#PubexLive 2025 - PT Bukit Asam Tbk (PTBA)","97 views","2 days ago"
"https://www.youtube.com/watch?v=R-eju_0nv1I","https://i.ytimg.com/vi/R-eju_0nv1I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCwtDkYptYetf69jp3fm-mpjeInGw","48:08","#PubexLive 2025 - PT Elnusa Tbk (ELSA)","39 views","2 days ago"
"https://www.youtube.com/watch?v=XNFqLpZWVgY","https://i.ytimg.com/vi/XNFqLpZWVgY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCIo5OXfrDbhI0LtyiQbb91r6GWrg","48:04","#PubexLive 2025 - PT Vale Indonesia Tbk (INCO)","43 views","2 days ago"
"https://www.youtube.com/watch?v=buyX8JNn3hs","https://i.ytimg.com/vi/buyX8JNn3hs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCadFWgPDkEVRVsIdA9D_YPINXMqg","43:02","#PubexLive 2025 - PT Bank Jago Tbk (ARTO)","35 views","2 days ago"
"https://www.youtube.com/watch?v=9Omnb9sQjX8","https://i.ytimg.com/vi/9Omnb9sQjX8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBvMEBc_WYm8mzqn9jrjQCdLN4aiw","44:06","#PubexLive 2025 - PT Bank Pembangunan Daerah Jawa Timur Tbk (BJTM)","77 views","2 days ago"
"https://www.youtube.com/watch?v=o0fECbY4rXg","https://i.ytimg.com/vi/o0fECbY4rXg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAnMJU3Eddc-STPPhM-ZQrZIlmDnQ","48:11","#PubexLive 2025 - PT Bank Tabungan Negara (Persero) Tbk (BBTN)","46 views","2 days ago"
"https://www.youtube.com/watch?v=y7nE8YP0trc","https://i.ytimg.com/vi/y7nE8YP0trc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBr-BM8u5o9G2L7DmgpgNvhcJU-vg","44:30","#PubexLive 2025 - PT Perusahaan Gas Negara Tbk (PGAS)","55 views","2 days ago"
"https://www.youtube.com/watch?v=DipM6ePXX2k","https://i.ytimg.com/vi/DipM6ePXX2k/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA5bT0o8m7pJ1XTZVyTCRbF5ZYpjA","39:33","#PubexLive 2025 - PT Medco Energi Internasional Tbk (MEDC)","73 views","3 days ago"
"https://www.youtube.com/watch?v=sEVXn4MDum4","https://i.ytimg.com/vi/sEVXn4MDum4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDCHC_sUlhnNxJZHbhO59pnM2sMyw","40:38","#PubexLive 2025 - PT Puradelta Lestari Tbk (DMAS)","56 views","3 days ago"
"https://www.youtube.com/watch?v=x1sMdVV_hW0&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/x1sMdVV_hW0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCV95e2dNFHuXk1CMecol5Qrm3gWw","34:55","#PubexLive 2025 - PT Bank BTPN Syariah Tbk (BTPS)","53 views","3 days ago"
"https://www.youtube.com/watch?v=uU2wpkhesPY","https://i.ytimg.com/vi/uU2wpkhesPY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCccrWFFmbGDpwvhcn9LAnSOrMPnw","44:48","#PubexLive 2025 - PT Wijaya Karya Beton Tbk (WTON)","60 views","3 days ago"
"https://www.youtube.com/watch?v=rLKAjdrQ-vY","https://i.ytimg.com/vi/rLKAjdrQ-vY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBdgYPZd6fxPsjSSqe0I_OzFK3jwA","44:14","#PubexLive 2025 - PT Jasa Armada Indonesia Tbk (IPCM)","69 views","3 days ago"
"https://www.youtube.com/watch?v=kSCzVr7VFWE","https://i.ytimg.com/vi/kSCzVr7VFWE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA4Cb4ODuP4zadzWjPt_IiUklzk4w","40:44","#PubexLive 2025 - PT Pantai Indah Kapuk Dua Tbk (PANI)","397 views","8 days ago"
"https://www.youtube.com/watch?v=MfyWhsfn2U4&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/MfyWhsfn2U4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA6bW8kZph4m9mLihLehybMsdtfpw","24:49","#PubexLive 2025 - PT BerdiKari Pondasi Perkasa Tbk (BDKR)","129 views","8 days ago"
"https://www.youtube.com/watch?v=5oskdPj4PZo","https://i.ytimg.com/vi/5oskdPj4PZo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBPi74Bz7d34TpUfRMOytyagavdmw","32:43","#PubexLive 2025 - PT Venteny Fortuna International Tbk (VTNY)","135 views","8 days ago"
"https://www.youtube.com/watch?v=Zs-B9rfqggs","https://i.ytimg.com/vi/Zs-B9rfqggs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAk_IUUXBg4qpv5ZsV_cAknNZ_ZKw","45:52","#PubexLive 2025 - PT Alam Sutera Realty Tbk (ASRI)","166 views","8 days ago"
"https://www.youtube.com/watch?v=EVNdmOcIp_E","https://i.ytimg.com/vi/EVNdmOcIp_E/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB-pOppQIjx5qFcMiOXJalm4k37Pw","25:10","Public Expose (PubEx) Live 2025 - Opening Ceremony","327 views","8 days ago"
"https://www.youtube.com/watch?v=vBTxEb3zWNE&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/vBTxEb3zWNE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBdhYZiP-1TjCDBAlOQcp2mRA7Iqg","49:37","#PubexLive 2025 - PT Bank Raya Indonesia Tbk (AGRO)","142 views","9 days ago"
"https://www.youtube.com/watch?v=gsPjCqYvTJ0","https://i.ytimg.com/vi/gsPjCqYvTJ0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCtPfbi50zKWhglmxQv8Kjo4vG8uw","35:10","#PubexLive 2025 - PT Gunanusa Eramandiri Tbk (GUNA)","26 views","10 days ago"
"https://www.youtube.com/watch?v=8QGlCmQFWbI","https://i.ytimg.com/vi/8QGlCmQFWbI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAAOIzK-tgm6qw14syBS00skzaQDg","44:12","#PubexLive 2025 - PT AKR Corporindo Tbk (AKRA)","27 views","10 days ago"
"https://www.youtube.com/watch?v=unkGMlaaOlI","https://i.ytimg.com/vi/unkGMlaaOlI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBlW8tH3Jnn4rnLQiTv2KE6hRjK3Q","55:20","#PubexLive 2025 - PT Surya Semesta Internusa Tbk (SSIA)","34 views","10 days ago"
"https://www.youtube.com/watch?v=Zz0E0A2lD14","https://i.ytimg.com/vi/Zz0E0A2lD14/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCJK6KuFKzEDtSK8xOYrAEx4_oL5w","49:46","#PubexLive 2025 - PT United Tractors Tbk (UNTR)","319 views","10 days ago"
"https://www.youtube.com/watch?v=LERVHlJSF0I","https://i.ytimg.com/vi/LERVHlJSF0I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLADj4x11xArG1Kx6k72cY5L4NuDoA","46:31","#PubexLive 2025 - PT Hartadinata Abadi Tbk (HRTA)","39 views","10 days ago"
"https://www.youtube.com/watch?v=tNYaPCnxx4s&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/tNYaPCnxx4s/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBO14ZAnot2AtvSDmYbMMkao9w8sw","41:30","#PubexLive 2025 - PT Bank Negara Indonesia (Persero) Tbk (BBNI)","163 views","10 days ago"
"https://www.youtube.com/watch?v=e-S7YL0zbVs&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/e-S7YL0zbVs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCDnxcpcTAIY4156FY9V4NpOs7O7A","49:33","#PubexLive 2025 - PT Adhi Karya (Persero) Tbk (ADHI)","105 views","10 days ago"
"https://www.youtube.com/watch?v=NDOy1Wlgd9g","https://i.ytimg.com/vi/NDOy1Wlgd9g/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB_ZrwWNmEJC4ZIq-k3db2YCS19pA","34:36","IDXTalks 13 | Adi Indarto Hartono: We Have to Understand the SSF First, Don't Go All-In Right Away","382 views","4 weeks ago"
"https://www.youtube.com/watch?v=eHw50g9kD8o","https://i.ytimg.com/vi/eHw50g9kD8o/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAkOfdU85Gr7QqYsfv-lbMliSVK-g","3:50","Official Anthem of Indonesia Stock Exchange","661 views","1 month ago"
"https://www.youtube.com/watch?v=Tto9If4haa0","https://i.ytimg.com/vi/Tto9If4haa0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAFq9p12AFfIkNfJ9XnlHau7-4gZQ","3:15","Official Jingle of Indonesia Stock Exchange","449 views","1 month ago"
"https://www.youtube.com/watch?v=90QrlVy04Ck","https://i.ytimg.com/vi/90QrlVy04Ck/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCpBiYrLkkhC9KizqkJYrQhhgfQmw","1:42","Young IDXplorers: Future Investors in Action!","279 views","1 month ago"
"https://www.youtube.com/watch?v=Uasicpgo_3Q","https://i.ytimg.com/vi/Uasicpgo_3Q/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCGN_RGXaugUW8oBw_ENSHEsuybPA","34:48","IDXTalks 12 | Anita Kesia Z.: The Jakarta Composite Index (JCI) is Moving Sideways, but Hopefully...","492 views","2 months ago"
"https://www.youtube.com/watch?v=3dRWP643FuI&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/3dRWP643FuI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCgNUAUoY3V0rDAR0iCAcU6yY3zGA","0:31","[Teaser] Sharia Investment Week (SIW) 2025 | 19 - 21 Juni 2025","273 views","3 months ago"
"https://www.youtube.com/watch?v=eZc5saFG_Aw","https://i.ytimg.com/vi/eZc5saFG_Aw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC7YGJx6kKKEiMWcFxg-a0E-zwnzQ","23:54","IDXTalks 11 | Vinni MR: Penyesuaian Trading Halt & ARB Itu Bukan Karena Panik, Tapi Untuk Kasih Jeda","585 views","3 months ago"
"https://www.youtube.com/watch?v=TII4YH2-brk","https://i.ytimg.com/vi/TII4YH2-brk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBP_rmA3S7M63xm9mWipPfdysb_-w","0:40","IDX Investor Reward Program 2025","289 views","4 months ago"
"https://www.youtube.com/watch?v=VuEhvyAD9KM&pp=0gcJCeAJAYcqIYzv","https://i.ytimg.com/vi/VuEhvyAD9KM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCcrG2qrTaQujyn4x374szdZDV_3Q","33:15","IDXTalks10 | IDXCarbon: Net-Zero Emission, 'End Objective' dari IDXCarbon","705 views","6 months ago"
"https://www.youtube.com/watch?v=NuYuOGIvsIg","","1:31:59","Virtual Open House: Indonesia International Carbon Trading","265 views","6 months ago"
"https://www.youtube.com/watch?v=vdRSG2uFRSw","","3:21:03","Penghargaan Galeri Investasi BEI 2025","303 views","6 months ago"
"https://www.youtube.com/watch?v=Jd4nFflWJhI&pp=0gcJCeAJAYcqIYzv","","1:04","Diversifikasi Portofolio dengan Indeks Asing di BEI","321 views","8 months ago"
"https://www.youtube.com/watch?v=y0EP00RF6fw","","1:01:25","Peresmian Pembukaan Perdagangan BEI Tahun 2025","1.3K views","8 months ago"
"https://www.youtube.com/watch?v=hUI3VZHaUxY","","3:43:47","CEO Networking 2024","382 views","8 months ago"
"https://www.youtube.com/watch?v=ds1paqrf6M8","","0:16","Bukan Jalan Ninja","459 views","8 months ago"
