record_id,phase,phase_reason,first_seen_at,updated_at,updated_by
r007_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_017,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_018,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_019,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r007_020,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r012_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_017,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_018,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_019,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_020,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_021,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_022,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r014_023,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_017,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_018,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_019,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r025_020,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r027_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r035_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r041_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r043_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r048_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_017,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_018,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_019,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_020,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_021,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_022,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_023,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r049_024,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_014,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_015,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_016,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r073_017,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_003,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_004,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_005,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_006,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_007,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_008,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_009,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_010,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_011,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_012,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r079_013,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r080_000,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r080_001,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
r080_002,Phase 1,Initial registry inference from current ground-truth completeness,2026-06-03T08:18:25Z,2026-06-03T08:18:25Z,phase_manager
