date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2025-01-01,Chitchat with AI: Understand the supply chain carbon disclosure of companies worldwide through Large Language Model,10.48550/arxiv.2511.00024,Haotian Hang,,,,2025,arXiv,,,"In the context of global sustainability mandates, corporate carbon disclosure has emerged as a critical mechanism for aligning business strategy with environmental responsibility. The Carbon Disclosure Project (CDP) hosts the world's largest longitudinal dataset of climate-related survey responses, combining structured indicators with open-ended narratives, but the heterogeneity and free-form nature of these disclosures present significant analytical challenges for benchmarking, compliance monitoring, and investment screening. This paper proposes a novel decision-support framework leveraging large language models (LLMs) to assess corporate climate disclosure quality at scale by developing a master rubric that harmonizes narrative scoring across 11 years of CDP data (2010-2020), enabling cross-sector and crosscountry benchmarking. By integrating rubric-guided scoring with percentile-based normalization, the method identifies temporal trends, strategic alignment patterns, and inconsistencies in disclosure across industries and regions. Results reveal that sectors such as Technology and countries like Germany consistently demonstrate higher rubric alignment, while others exhibit volatility or superficial engagement, offering insights that inform key decision-making processes for investors, regulators, and corporate environmental, social, and governance (ESG) strategists. The proposed LLM-based approach transforms unstructured disclosures into quantifiable, interpretable, comparable, and actionable intelligence, advancing the capabilities of AI-enabled decision support systems (DSSs) in the domain of climate governance."
2024-10-05,Understanding Public Opinion towards ESG and Green Finance with the Use of Explainable Artificial Intelligence,10.3390/math12193119,"Wihan van der Heever, Ranjan Satapathy, Ji Min Park, Erik Cambria",Mathematics,Mathematics,12,2024,MDPI AG,19,3119,"This study leverages explainable artificial intelligence (XAI) techniques to analyze public sentiment towards Environmental, Social, and Governance (ESG) factors, climate change, and green finance. It does so by developing a novel multi-task learning framework combining aspect-based sentiment analysis, co-reference resolution, and contrastive learning to extract nuanced insights from a large corpus of social media data. Our approach integrates state-of-the-art models, including the SenticNet API, for sentiment analysis and implements multiple XAI methods such as LIME, SHAP, and Permutation Importance to enhance interpretability. Results reveal predominantly positive sentiment towards environmental topics, with notable variations across ESG categories. The contrastive learning visualization demonstrates clear sentiment clustering while highlighting areas of uncertainty. This research contributes to the field by providing an interpretable, trustworthy AI system for ESG sentiment analysis, offering valuable insights for policymakers and business stakeholders navigating the complex landscape of sustainable finance and climate action. The methodology proposed in this paper advances the current state of AI in ESG and green finance in several ways. By combining aspect-based sentiment analysis, co-reference resolution, and contrastive learning, our approach provides a more comprehensive understanding of public sentiment towards ESG factors than traditional methods. The integration of multiple XAI techniques (LIME, SHAP, and Permutation Importance) offers a transparent view of the subtlety of the model’s decision-making process, which is crucial for building trust in AI-driven ESG assessments. Our approach enables a more accurate representation of public opinion, essential for informed decision-making in sustainable finance. This paper paves the way for more transparent and explainable AI applications in critical domains like ESG."
2024-01-01,BERT-Based Model for Aspect-Based Sentiment Analysis for Analyzing Arabic Open-Ended Survey Responses: A Case Study,10.1109/access.2023.3348342,"Khloud Alshaikh, Omaima Almatrafi, Yoosef B. Abushark",Ieee Access,IEEE Access,12,2024,Institute of Electrical and Electronics Engineers (IEEE),,2288-2302,"Educational institutions typically gather feedback from beneficiaries through formal surveys.Offering open-ended questions allows students to express their opinions about matters that may not have been measured directly in closed-ended questions. However, responses to open-ended questions are typically overlooked due to the time and effort required. Aspect-based sentiment analysis is used to automate the process of extracting fine-grained information from texts. This study aims to 1) examine the performance of different BERT-based models for aspect term extraction for Arabic text sourced from educational institution surveys; 2) develop a system that automates the ABSA process in a way that will automatically label survey responses. An end-to-end system was developed as a case study to extract aspect terms, identify their polarity, map extracted aspects to their respective categories, and aggregate category polarity. To accomplish this, the models were evaluated using an in-house dataset. The result showed that FAST-LCF-ATEPC, a multilingual checkpoint, outperformed other models including AraBERT, MARBERT, and QARiB, in the aspect-term extraction task, with an F1 score of 0.58. Hence, it was used for aspect-term polarity classification, showing an F1 score of 0.86. Mapping aspects to their respective categories using a predefined list yielded an average F1 score of 0.98. Furthermore, the polarities of the categories were aggregated to summarize the overall polarity for each category. The developed system can support Arabic educational institutions in harnessing valuable information in responses to open-ended survey questions, allowing decision-makers to better allocate resources, and improve facilities, services, and students' learning experiences."
2025-05-14,Bridging Finance and AI: A Comprehensive Survey of Large Language Models in Financial Applications,10.21203/rs.3.rs-6614220/v1,"Ameer Tamoor Khak, Shuai Li, Xinwei Cao",,,,2025,Springer Science and Business Media LLC,,,"Abstract
        Large Language Models (LLMs) have rapidly transformed natural language processing across domains, and their adoption in finance promises to revolutionize tasks ranging from document understanding to quantitative analysis. This survey presents a comprehensive overview of LLM applications in financial contexts. We first trace the evolution of language modeling from RNNs to Transformers and summarize key architectures (encoder-only, decoder-only, encoder-decoder) and transfer-learning paradigms (pretraining, fine-tuning, prompt-based, instruction tuning). We then propose a taxonomy of finance-relevant tasks, including linguistic preprocessing (summarization, NER), sentiment analysis, financial reasoning and QA, forecasting/time-series modeling, and agent-based decision support. Next, we review the landscape of datasets and benchmarks highlighting English-dominant biases, gaps in crisis-period coverage, and emerging multilingual resources. We catalog financial domain--specific LLMs, contrasting fine-tuned models (FinBERT, FinGPT, FinMA) with from-scratch systems (BloombergGPT, FinTral, XuanYuan 2.0) and compare them to general-purpose models. We examine evaluation metrics, contrasting standard ML measures (accuracy, F1, MSE) with finance-centric criteria (Sharpe Ratio, Maximum Drawdown) and discuss challenges around data leakage, hallucinations, robustness, and explainability. Ethical and regulatory considerations data privacy, bias, fairness, and compliance are addressed, followed by a multi-level decision framework (zero-shot through pretraining from scratch) that balances accuracy, cost, and privacy. Finally, we outline open challenges and future directions, including cross-lingual models, symbolic reasoning integration, human--AI collaboration, and the development of open, temporally annotated finance benchmarks. This survey aims to guide researchers and practitioners in responsibly harnessing LLMs to advance financial AI."
2022-05-01,AI Fairness in the Financial Industry: A Machine Learning Pipeline Approach,10.1142/9789811250903_0004,Jun Xu,,,,2022,WORLD SCIENTIFIC,,117-154,"The burgeoning integration of Artificial Intelligence (AI) into Environmental, Social, and Governance (ESG) initiatives within the financial sector represents a paradigm shift towards more sustainable and equitable financial practices. This paper surveys the industrial landscape to delineate the necessity and impact of AI in bolstering ESG frameworks. With the advent of stringent regulatory requirements and heightened stakeholder awareness, financial institutions (FIs) are increasingly compelled to adopt ESG criteria. AI emerges as a pivotal tool in navigating the complex interplay of financial activities and sustainability goals. Our survey categorizes AI applications across three main pillars of ESG, illustrating how AI enhances analytical capabilities, risk assessment, customer engagement, reporting accuracy and more. Further, we delve into the critical considerations surrounding the use of data and the development of models, underscoring the importance of data quality, privacy, and model robustness. The paper also addresses the imperative of responsible and sustainable AI, emphasizing the ethical dimensions of AI deployment in ESG-related banking processes. Conclusively, our findings suggest that while AI offers transformative potential for ESG in banking, it also poses significant challenges that necessitate careful consideration. The final part of the paper synthesizes the survey's insights, proposing a forward-looking stance on the adoption of AI in ESG practices. We conclude with recommendations with a reference architecture for future research and development, advocating for a balanced approach that leverages AI's strengths while mitigating its risks within the ESG domain."
2024-02-28,Artificial Intelligence in ESG investing: Enhancing portfolio management and performance,10.30574/ijsra.2024.11.1.0305,"Omotayo Bukola Adeoye, Chinwe Chinazo Okoye, Onyeka Chrisanctus Ofodile, Olubusola Odeyemi, Wilhelmina Afua Addy, Adeola Olusola Ajayi-Nifise",International Journal of Science and Research Archive,Int. J. Sci. Res. Arch.,11,2024,GSC Online Press,1,2194-2205,"Artificial Intelligence (AI) has emerged as a transformative force in Environmental, Social, and Governance (ESG) investing, significantly enhancing portfolio management and performance. This paper investigates the integration of AI technologies within ESG investment strategies, elucidating their profound impact on decision-making processes and financial outcomes. By leveraging advanced data analytics and machine learning algorithms, AI empowers investors to analyze extensive ESG-related datasets, extract actionable insights, and identify investment opportunities aligned with sustainability objectives. The application of AI-driven ESG analysis enables investors to construct well-structured portfolios that not only aim for financial success but also adhere to ethical and sustainable principles. Through the utilization of AI, investors can systematically evaluate the environmental impact, social responsibility, and corporate governance practices of potential investments. This approach facilitates the identification of ESG risks and opportunities with greater precision and efficiency, leading to more informed investment decisions. Moreover, AI enables investors to dynamically adjust their portfolios in response to changing market conditions and emerging sustainability trends. By continuously monitoring ESG factors and leveraging predictive analytics, investors can proactively manage risks and seize opportunities to enhance portfolio performance over the long term. This proactive approach not only mitigates potential ESG-related risks but also positions investors to capitalize on emerging market trends and shifts in consumer preferences. Furthermore, the integration of AI in ESG investing fosters transparency, accountability, and stakeholder engagement within the investment ecosystem. AI-powered tools facilitate the dissemination of ESG-related information, enabling investors to make informed decisions that align with their values and sustainability goals. By harnessing the capabilities of AI, investors can drive positive environmental and social impact while achieving competitive financial returns. In conclusion, the utilization of AI in ESG investing represents a paradigm shift in portfolio management, offering investors unprecedented opportunities to navigate complex ESG challenges and achieve sustainable financial success."
2024-01-01,A Natural Language Processing Model on BERT and YAKE Technique for Keyword Extraction on Sustainability Reports,10.1109/access.2024.3352742,"Akriti Gupta, Aman Chadha, Vijaishri Tewari",Ieee Access,IEEE Access,12,2024,Institute of Electrical and Electronics Engineers (IEEE),,7942-7951,"Sustainability has become the greatest aspiration on the planet, as every organization has begun reorienting itself to become one. To accomplish this, organizations must strike a balance between their Environmental, Social, and Governance (ESG) policies. It is essential to examine the organizations that currently exist. For this reason, the study conducts a thematic analysis of the sustainability reports of Forbes' India's top companies in 2021 in order to determine their current ESG focus using BERT tokenization and YAKE technique along with MLM and NSP methods of natural language processing (NLP). The experiment results in prediction with 98% accuracy. The study addresses the question, ""What must organizations do to embark on the path towards sustainability?"""
2025-07-06,"Advancing Firm‐Specific ESG Sentiment Analysis: A Machine Learning Approach to Clustering, Prediction, and Financial Performance Implications",10.1002/bsd2.70150,"Nargis Sultana, Fahad Zeya",Business Strategy & Development,Bus Strat Dev,8,2025,Wiley,3,,"ABSTRACTAs corporate sustainability faces increasing scrutiny from investors and policymakers, measuring firm‐specific ESG sentiment remains a challenge. Traditional ESG indices often aggregate data at the industry or national level, overlooking firm‐level variations. This study introduces a data‐driven framework that integrates clustering analysis, principal component analysis (PCA), and machine learning models to identify distinct ESG sentiment patterns. Using K‐means and Hierarchical Clustering, firms are segmented based on ESG sentiment scores, uncovering significant differences in sustainability disclosures and financial risk. Predictive modeling with Random Forest and XGBoost further demonstrates that firms with higher ESG sentiment experience lower financial risk and greater investor confidence. Statistical validation through ANOVA analysis confirms the robustness of the identified clusters, revealing substantial heterogeneity in ESG reporting. Grounded in legitimacy and signaling theories, this research explains how firms strategically disclose ESG information to enhance credibility and attract capital. By providing a quantitative ESG assessment framework, this study offers valuable insights for investors, policymakers, and corporate leaders seeking to improve investment decisions, regulatory compliance, and sustainability benchmarking. Addressing limitations in traditional ESG ratings, our findings contribute to advancing ESG measurement methodologies and laying the foundation for dynamic firm‐specific ESG sentiment modeling."
2025-01-01,Aspect-Level Obfuscated Sentiment in Thai Financial Disclosures and Its Impact on Abnormal Returns,10.48550/arxiv.2511.13481,Attapol T. Rutherford,,,,2025,arXiv,,,"Understanding sentiment in financial documents is crucial for gaining insights into market behavior. These reports often contain obfuscated language designed to present a positive or neutral outlook, even when underlying conditions may be less favorable. This paper presents a novel approach using Aspect-Based Sentiment Analysis (ABSA) to decode obfuscated sentiment in Thai financial annual reports. We develop specific guidelines for annotating obfuscated sentiment in these texts and annotate more than one hundred financial reports. We then benchmark various text classification models on this annotated dataset, demonstrating strong performance in sentiment classification. Additionally, we conduct an event study to evaluate the real-world implications of our sentiment analysis on stock prices. Our results suggest that market reactions are selectively influenced by specific aspects within the reports. Our findings underscore the complexity of sentiment analysis in financial texts and highlight the importance of addressing obfuscated language to accurately assess market sentiment."
2022-05-10,How AI affects the future relationship between corporate governance and financial markets: a note on impact capitalism,10.1108/mf-12-2021-0586,"Russ McBride, Alireza Dastan, Poorya Mehrabinia",Managerial Finance,MF,48,2022,Emerald,8,1240-1249,"PurposeThe authors discuss how artificial intelligence (AI) can facilitate and incentivize reform in corporate social responsibility (CSR), i.e. governance with regard to pledge for socially responsible investments (SRIs).Design/methodology/approachThe current essay examines the impacts of AI systems on the dynamics between corporate governance and financial markets in terms of promoting sustainability. Based on a qualitative review of over 100 pieces of literature, we offer an outlook into the mentioned dynamics through the lens of complex systems. Legal and ethical provisions for safe and robust AI systems are briefly discussed and integrated.FindingsIn a closed system, there is a reinforcing feedback loop between SRI and CSR. AI is a moderator to increase SRI and a mediator to incentivize CSR. If the legal and ethical provisions are involved in the AI systems, they could act as catalyst for corporate governance reform towards sustainability.Research limitations/implicationsThe findings are based on a solely qualitative assessment of the prior literature in corporate governance, corporate law, AI and data governance, asset pricing, and asset allocation. The scopes and specifics of the relationship are yet to be found through quanatitative or quantitative/qualitative hybrid methods.Originality/valueThis is to certify that to the best of our knowledge, the content of this thesis is our own work. This paper has not been submitted for any degree or other purposes. The authors certify that the intellectual content of this research is the product of the authors’ own work and that all the assistance received in preparing this paper and sources have been acknowledged. Russ McBride Alireza Dastan Poorya Mehrabinia"
2024-10-17,"Artificial Intelligence and business intelligence to enhance Environmental, Social, and Governance (ESG) strategies: Internet of things, machine learning, and big data analytics in financial services and investment sectors",10.70593/978-81-981367-4-9_3,"Nitin Liladhar Rane, Jayesh Rane, Mallikarjuna Paramesha",,,,2024,Deep Science Publishing,,,"This research investigates the convergence of business intelligence (BI), artificial intelligence (AI), and sustainable development, with a focus on integrating the Internet of Things (IoT), machine learning (ML), and big data analytics. Initially, a co-occurrence analysis of keywords is conducted to identify significant themes and emerging trends within sustainable business practices. Subsequently, the study explores the application of AI in promoting business sustainability, illustrating how AI-powered solutions can enhance resource efficiency and reduce environmental footprints. This research investigates the transformative potential of artificial intelligence (AI) in enhancing Environmental, Social, and Governance (ESG) strategies, meeting the increasing demand for sustainable and ethical investment practices. Current trends indicate the rising use of AI in ESG due diligence, where sophisticated algorithms evaluate risks and opportunities related to environmental impact, social responsibility, and corporate governance practices."
2024-08-19,AI-Driven Financial Modeling Techniques: Transforming Investment Strategies,10.33423/jabe.v26i4.7181,Jianglin Dennis Ding,Journal of Applied Business and Economics,JABE,26,2024,North American Business Press,4,,"Artificial Intelligence (AI) has revolutionized financial modeling and investment strategies by introducing sophisticated algorithms and advanced data processing capabilities. This article delves into a variety of AI-driven financial modeling techniques, such as machine learning, natural language processing, and deep learning, providing detailed examples of their applications. These techniques are shown to significantly enhance predictive accuracy, risk management, portfolio optimization, and trading strategies. Through case studies and empirical evidence, the article highlights the transformative impact of AI on financial modeling. Additionally, it addresses the challenges in implementing AI-driven models, such as data quality issues, model interpretability, and regulatory concerns, and identifies future research opportunities to further advance the field. The comprehensive analysis provided offers a clear understanding of how AI is reshaping the financial industry, the potential benefits it brings, and the hurdles that must be overcome to fully harness its capabilities."
2024-05-18,"Fintech And Sustainable Finance: A Review Of Environmental, Social, And Governance (Esg) Integration",10.53555/kuey.v30i5.4019,Винокур И.Р.,,EATP,,2024,Green Publication,,6816-6824,"The convergence of financial technology (Fintech) and sustainable finance represents a promising frontier in the global pursuit of environmentally sound, socially responsible, and ethically governed investment practices. This review paper synthesizes the current landscape of Fintech applications within the realm of sustainable finance, with a particular focus on the integration of Environmental, Social, and Governance (ESG) criteria. Drawing upon a comprehensive analysis of scholarly articles, industry reports, and regulatory frameworks, this paper provides insights into the emerging trends, challenges, and opportunities in this rapidly evolving domain. The paper highlights the growing importance of ESG considerations in investment decision-making processes, driven by increasing awareness of sustainability issues among investors, regulatory initiatives, and corporate commitments to responsible business practices. Fintech innovations have played a pivotal role in facilitating the integration of ESG factors into investment strategies, offering advanced analytics, data visualization tools, and digital platforms for sustainable investment screening, portfolio management, and impact measurement. Furthermore, the paper examines the role of blockchain technology, artificial intelligence, and big data analytics in enhancing the transparency, traceability, and efficiency of ESG-related financial transactions. It also discusses the emergence of novel financial instruments, such as green bonds, social impact bonds, and sustainability-linked loans, enabled by Fintech solutions, to channel capital towards sustainable projects and initiatives. However, the paper also identifies several challenges and areas for future research, including data quality and standardization issues, regulatory harmonization, cybersecurity risks, and ethical considerations surrounding algorithmic decision-making in sustainable finance. Addressing these challenges will be crucial for realizing the full potential of Fintech-enabled sustainable finance in driving positive environmental and social outcomes while ensuring financial stability and inclusivity. This paper provides a comprehensive overview of the intersection between Fintech and sustainable finance, shedding light on the transformative potential of technology in advancing the goals of environmental protection, social equity, and good governance in the global financial system."
2020-07-28,ESG Standards: Looming Challenges and Pathways Forward,10.1177/1086026620945342,"Todd Cort, Daniel C. Esty",Organization & Environment,Organization & Environment,33,2020,SAGE Publications,4,491-510,"We are pleased to serve as guest editors of this special issue of the journal Organization &amp; Environment on the State of ESG (environmental, social, and governance) Standards. Calls for standardization of corporate sustainability data continue to mount as a growing segment of the mainstream investor community seeks greater clarity and comparability regarding relative company performance on ESG issues. While ESG reporting standards have driven greater transparency over the years, there remains a great deal of work to undertake in order to better understand and formulate the standards for ESG data that will underlie decision-useful information in future disclosures."
