,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count
51,3 (three) Green Toll Road Certified Roads,environmental certification,e,positive,outcome,1
52,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,environmental certification,g,positive,outcome,1
53,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,green certification,e,positive,outcome,1
54,3 (tiga) Ruas Jalan BERSERTIFIKAT GREEN TOLL ROAD,sertifikasi green toll road,none,positive,outcome,1
55,3 Green Building tersertifikasi GBCI dengan peningkatan 200% dari tahun sebelumnya.,green building certification,e,positive,outcome,1
56,3 Green Building tersertifikat GBCI dengan peningkatan 200% dari tahun sebelumnya.,sustainable infrastructure,s,positive,outcome,1
57,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),road safety rating,e-s-g,positive,outcome,2
58,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),road safety ratings,none,positive,outcome,1
59,3-Star Rating for Vehicle Occupant in recent safety upgrades on Dalam Kota Toll Road (16 Januari 2023),safety rating,e-s-g,positive,outcome,1
60,30% Intensitas emisi per pegawai dari baseline tahun 2019.,emissions intensity reduction,g,positive,outcome,1
61,30% Intensitas emisi per pegawai dari baseline tahun 2019.,employee carbon footprint,e,positive,outcome,1
62,3022,other,s,neutral,none,1
63,307,other,s,neutral,none,1
64,"31,78 Biaya Tanggung Jawab Sosial Lingkungan (TJSL) (Miliar rupiah)",corporate social responsibility investment,s,positive,outcome,1
65,323 JUTA BANTUAN LINGKUNGAN MASYARAKAT,bantuan lingkungan masyarakat,s,positive,outcome,1
66,323 JUTA BANTUAN LINGKUNGAN MASYARAKAT,community support,e,positive,outcome,1
67,33% Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,carbon emissions reduction,none,positive,outcome,1
68,33% Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,emissions reduction,e-s-g,positive,outcome,1
69,33% pengurangan Emisi Cakupan 1 dan 2 dari baseline tahun 2019.,emissions reduction,e-s-g,positive,outcome,1
70,34 manufacturing units [...] represent more than 75% of Indofood's total energy consumption.,energy management,none,neutral,outcome,1
71,3680,other,e-s,neutral,none,1
72,3774,other,e,neutral,none,1
73,3934,other,e-s-g,neutral,none,1
74,3976,other,,neutral,none,1
75,"4 murals using special paint that absorb air pollution, equivalent to planting 700 trees.",air pollution absorption via murals,s,positive,outcome,1
76,"4,98 (PUAS) INDEX KEPUASAN PELANGGAN",customer satisfaction,e,positive,outcome,2
77,"4,98 (PUAS) INDEX KEPUASAN PELANGGAN",kepuasan pelanggan,none,positive,outcome,1
78,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road,road safety,s,positive,outcome,1
79,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),road safety rating,e,positive,outcome,2
80,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),road safety ratings,e,positive,outcome,1
81,4-Star Rating for Vehicle Occupant in recent safety upgrades on Pondok Aren - Ulujami Toll Road (15 Desember 2023),safety rating,e,positive,outcome,1
82,4.98 (Satisfied) Customer Satisfaction Rate,customer satisfaction,e-s-g,positive,outcome,3
83,4036,other,e-s-g,neutral,none,1
84,4069,other,e,neutral,none,1
85,4136,other,s,neutral,none,1
86,4183,other,none,neutral,none,1
87,4527,other,e,neutral,none,1
88,"46% reduction in paper usage compared to 2019 baseline, saving 22,822 trees",resource conservation,e-s-g,positive,outcome,1
89,46% reduction in paper usage compared to 2019 baseline.,resource efficiency,s,positive,outcome,1
90,"46,20 TJ PENGGUNAAN ENERGI",energy consumption,none,neutral,outcome,1
91,"46,20 TJ PENGGUNAAN ENERGI",energy usage,g,neutral,outcome,1
92,46.20 TJ Energy Usage,energy consumption,none,neutral,outcome,2
93,4603,other,e-s-g,neutral,none,1
94,"47,6% pegawai perempuan dengan representasi 36% di posisi >AVP Level.",gender diversity,s,positive,outcome,1
95,4849,other,e-s,neutral,none,1
96,50% of our employees participated in GoTo activities that aligned with nine of the UN SDGs.,sdg engagement,g,positive,outcome,1
97,"50% of our employees participated in GoTo activities that aligned with nine of the UN SDGs: Climate Action; Gender Equality; No Poverty; Zero Hunger; Quality Education; Reduced Inequalities; Sustainable Cities and Communities; Good Health and Well-Being; and Peace, Justice and Strong Institutions.",un sustainable development goals alignment,s,positive,outcome,1
98,52% female representation in leadership positions (ASE) and 4 female Commissioners/Directors,gender equality,e,positive,outcome,1
99,52% total pegawai adalah perempuan dengan 35% menjabat AVP atau lebih tinggi.,gender equality,e,positive,outcome,1
100,55,other,e,neutral,none,1
101,"59 2017 on the Implementation of Sustainable Development Goals), BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.","develops strategies, initiatives and kpis that are in line with sdgs which will then be reported periodically",s,commitment,commitment,1
102,"59,076 TonCO₂eq emission reduction from 2019 baseline.",emissions reduction,e,positive,outcome,1
103,"6,5 juta orang menerima manfaat program TJSL dan inklusi keuangan.",community development,s,positive,outcome,1
104,"6,5 juta orang menerima manfaat program TJSL dan inklusi keuangan.",social impact programs,none,positive,outcome,1
105,608,other,s,neutral,none,1
106,64% of leadership positions within our operations are held by women.,diversity and inclusion,e,positive,outcome,1
107,64% of leadership positions within our operations are held by women.,gender diversity in leadership,e,positive,outcome,2
108,64% of leadership positions within our operations are held by women.,gender equality,s,positive,outcome,1
109,677,other,g,neutral,none,1
110,692,other,s,neutral,none,1
111,742,other,e,neutral,none,1
112,"757,5 Total jam pelatihan karyawan (Jam)",employee training and development,g,positive,outcome,1
113,79% of shopping bags were non single-use plastic alternatives,sustainable packaging,e,positive,outcome,1
114,79.3% of shopping bags were non single-use plastic alternatives,waste reduction,e-s-g,positive,outcome,1
115,8.749 MILIAR DANA BANTUAN PENDIDIKAN,dana bantuan pendidikan,none,positive,outcome,1
116,8.749 MILIAR DANA BANTUAN PENDIDIKAN,education assistance,none,positive,outcome,1
117,832,other,none,neutral,none,1
118,94,other,e,neutral,none,1
119,94 percent of the electricity used in our own operations comes from renewable sources.,renewable energy usage,none,positive,outcome,1
120,94% renewable electricity in own operations (goal: 100% by 2030).,renewable energy,,positive,outcome,1
121,98.56% of employees vaccinated against COVID-19.,employee health & safety,g,positive,outcome,1
122,98.56% of employees were vaccinated against COVID‑19.,employee vaccination rate,e,positive,outcome,1
123,98.9% of shopping bags used in 2021 were non-plastic alternatives.,plastic reduction,e,positive,outcome,1
124,98.9% of shopping bags used in 2021 were non‑plastic alternatives.,non‑plastic shopping bag usage,s,positive,outcome,1
125,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones",local manufacturing,,positive,action,1
126,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones",manufacturing collaboration,e,positive,action,1
127,"A Collaboration on Electronic Manufacturing Services (""EMS"") For Venera Mobile Phones Erajaya Swasembada Tbk PT. through its subsidiary, namely PT Teletama Artha Mandiri (TAM), has officially started the local production of Venera mobile phone (HP) at PT Sat Nusapersada Tbk. in Batam.",local manufacturing initiative,e,positive,outcome,1
128,A Collaboration on Electronic Manufacturing Services (EMS) For Venera Mobile Phones,manufacturing collaboration,none,positive,action,2
129,A New Chapter in the Mining Industry in Indonesia to Welcome a Sustainable Future,sustainable development,s,positive,commitment,1
130,"A total of 96,609 kWh was distributed from the charging station, an increase of 551.88% or equivalent to 81,789 kWh from the previous year of 14,820 kWh.",electric vehicle charging distribution,e,positive,outcome,1
131,"A total of 96,609 kWh was distributed from the charging station, an increase of 551.88% or setara 81,789 kWh from the previous year sebanyak 14,820 kWh.",electric vehicle charging distribution,s,positive,outcome,1
132,A water tower can deliver 850 liters of clean water per hour.,water access,,neutral,action,1
133,A water tower can deliver 850 liters of clean water per hour.,water conservation,s,neutral,action,1
134,AIR DAUR ULANG,recycled water,none,neutral,action,1
135,"AMI always strives to harmonize environmental, social, and governance (ESG) aspects in carrying out business activities.",esg integration,e,commitment,commitment,3
136,Acara ini diselenggarakan sebagai bentuk sinergi dan komitmen Perseroan bersama para partner untuk saling mendukung dalam hal pembiayaan dan juga memberikan kemudahan serta kenyamanan bertransaksi untuk segala kebutuhan para customer Perseroan Group.,stakeholder partnerships and customer support,e,positive,action,1
137,Accomplishments in sustainability implementation garnered BNI several achievements in 2023.,esg performance,e,positive,outcome,1
138,"According to Nielsen data, only within 6 (six) months since the implementation of the first phase of the ASO policy, our Digital Terrestrial Television (DTT) penetration reached more than 90%.",dtt penetration achievement,e-s-g,positive,outcome,1
139,"Accordingly, the Management contends that current business development is not only limited to increasing sales but also how to optimize every existing network and database as our capital to create a product and service with more added-value.",business development,g,positive,commitment,1
140,"Accordingly, the Management contends that current business development is not only limited to increasing sales but also how to optimize every existing network and database as our capital to create a product and service with more added-value.",business development strategy,e,positive,commitment,1
141,Achieve full and productive employment and decent work for all women and men [Linked to GRI 401/405 disclosures],gender equality,s,positive,commitment,1
142,Achieve gender equality and empower all women and girls,gender equality,g,positive,commitment,1
143,"Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value added and labour-intensive sectors.",economic productivity,e-s-g,positive,commitment,3
144,"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all.",healthcare access,none,positive,commitment,3
145,Achieved over 66% renewable energy usage across our operations.,renewable energy usage,e,positive,outcome,1
146,Achieving good economic performance enabled MAPI to provide positive contribution to the achievement of the SDGs.,sustainable development goals,s,positive,outcome,1
147,Achieving over 66% renewable energy usage across our operations.,renewable energy adoption,e-s-g,positive,outcome,1
148,"Acquired PT Hidon, chicken breeding and hatchery company, through PT Multibreeder Adirama Indonesia Tbk.",business expansion,e,positive,outcome,1
149,Acquisition of PT Axioo International Indonesia (AXIOO),business acquisition,s,neutral,outcome,1
150,Acquisition of PT Axioo International Indonesia (AXIOO) To comply with the Regulation of the Minister of Trade No. 38/M-DAG/PER/8/2013 concerning the Amendment to the Article 8A of,regulatory compliance,e-s-g,neutral,outcome,1
151,Acquisition of PT Axioo International Indonesia (AXIOO).,acquisition,s,neutral,outcome,2
152,Adanya Satuan Kerja Manajemen Risiko (SKMR) yang secara khusus memitigasi risiko dan mengidentifikasi peluang terkait perubahan iklim.,climate risk management,g,neutral,action,3
153,Adaptasi terhadap terjadinya pandemi COVID-19 telah berdampak pada cepatnya penggunaan digital yang terus meningkat.,digital transformation,none,positive,outcome,1
154,"Adapun untuk merespons perubahan iklim, kami memiliki dua pendekatan utama, yaitu reduksi emisi gas rumah kaca dari kegiatan operasional dan penyaluran kredit yang ditujukan untuk pengurangan dan penyesuaian perubahan iklim.",reducing greenhouse gas emissions from operations,none,positive,action,1
155,"Additionally, BNI creates a sustainability culture that is thoroughly applied to all work units for maximum implementation of green banking practices.",sustainability culture,,positive,action,1
156,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",gri standards compliance,s,neutral,outcome,1
157,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",reporting standards,e,neutral,outcome,1
158,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",sustainability reporting,e,neutral,outcome,1
159,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the most recent GRI Universal Standards from 2021.",sustainability reporting standards,s,neutral,outcome,1
160,"Additionally, our report aligns with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards.",gri alignment,none,neutral,outcome,1
161,"Advancing positive performance growth in the last few years, the Company closed 2017 with a satisfying achievement and has been ready to approach digital era.",performance growth,g,positive,outcome,3
162,"Advancing positive performance growth in the last few years, the Company closed 2017 with a satisfying achievement and has been ready to approach digital era.",performance growth and digital readiness,e-s-g,positive,outcome,2
163,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",economic recovery,,positive,outcome,1
164,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",economic recovery and industrial improvement,e-s,positive,outcome,1
165,"After experiencing multiple challenges in the last few years, Indonesian economy has started to show a positive sign of recovery as we can observe from the significant improvement in the industrial sector in 2017.",indonesian economy,s,positive,outcome,1
166,"After successfully overcoming the implementation phase of the Analog Switch Off (ASO) policy imposed by the government since the end of 2022, the media industry was faced with various external challenges stemming from global macroeconomic turmoil that triggered an increase in inflation and interest rates, especially in the first half of the year.",external economic challenges,,negative,outcome,1
167,"Agribusinesses also face complex sustainability issues, from forest protection, land and human rights issues, to supply chain traceability.",agribusiness sustainability issues,none,neutral,none,1
168,"Agribusinesses also face complex sustainability issues, from forest protection, land and human rights issues, to supply chain traceability.",sustainability issues in agribusiness,,neutral,none,1
169,"Agricultural supply shocks and extreme weather events threaten business continuity, making climate change mitigation not only a moral imperative but a strategic business proposition.",climate change,none,negative,none,1
170,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment",contribution to sustainable development goals,e,positive,commitment,3
171,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment",contribution towards the achievement of the sdgs,s,positive,commitment,1
172,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment.",sdg contribution,e,positive,commitment,1
173,"Aligned with this theme, companies and business units are always striving to create and develop various innovative programs in order to contribute towards the achievement of the SDGs, which include increasing profits, sound environmental management, and increasing contributions to community empowerment.",sdgs contribution,e-s,positive,commitment,2
174,All financial information for 2024 presented in this report is sourced from the Indofood 2024 Annual Report.,financial reporting,e,neutral,outcome,1
175,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",sustainability integration,e-s-g,positive,commitment,1
176,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",sustainability principle,s,positive,commitment,3
177,"All of the Company's efforts in running its business are carried out on the principle of sustainability by taking into account the harmony between economic, social, and environmental aspects.",triple bottom line approach,e,positive,commitment,1
178,"All products have obtained necessary licenses (SNI for kids' products, BPOM for food/cosmetics).",product safety compliance,e-s-g,positive,outcome,1
179,All products have obtained the necessary licenses such as Indonesian National Standards (SNI) for all kids' products and distribution licenses from Indonesian Food and Drug Authority (BPOM)...,regulatory compliance,e,positive,outcome,1
180,All the icons depicted on the cover of this report represent our efforts and initiatives towards sustainable operations.,sustainability reporting,e-s-g,positive,action,1
181,All the icons depicted on the cover of this report represent our efforts and initiatives towards sustainable operations.,sustainable operations,s,positive,action,1
182,"All the results of sustainability performance in the economic, social, environmental, and governance aspects are collective responsibility and are under the supervision of the President Director.",collective esg responsibility,s,positive,outcome,1
183,All this led to a stronger gross margin.,gross margin,e,positive,outcome,1
184,All this led to a stronger gross margin.,gross margin improvement,e-s-g,positive,outcome,1
185,Almost 100% of shopping bags were either paper or spun bonded bags.,plastic reduction,e,positive,outcome,1
186,"Alongside our stakeholders, we work to keep on delivering value to them.",community engagement,g,positive,action,1
187,"Also, we are still committed to KPMG International's Impact Plan.",corporate commitment,e-s-g,positive,commitment,1
188,"Also, we are still committed to KPMG International's Impact Plan.",global sustainability plan,,positive,commitment,1
189,"Although managed independently, KPMG is structured such that global activities support a consistent level of quality and set of values, regardless of where the subsidiary operates.",quality and values,none,positive,action,1
190,"Although the operational activities are not directly related to climate change, the Company has a significant role in providing education related to environmental preservation to the public.",environmental education,e,positive,action,1
191,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",business development,none,neutral,action,1
192,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",business resilience and sustainability,s,positive,commitment,1
193,"Amid a political year and ongoing global economic uncertainty, the Company continues to pursue business development in a cautious and selective manner, grounded in resilience and a sustainability-oriented approach.",sustainability-oriented approach,g,positive,commitment,1
194,"Amidst the dynamic condition of 2017, the Company realizes that Human Capital has become a very important aspect for business sustainability.",human capital,none,positive,commitment,1
195,"Amidst the dynamic condition of 2017, the Company realizes that Human Capital has become a very important aspect for business sustainability.",importance of human capital,e-s-g,positive,commitment,1
196,"Amidst the rapid digitalization, the Company also observes the importance of Big Data Management as a pivotal key to expand and diversify business.",big data management,g,neutral,action,2
197,Annual Public Expose,transparency,none,neutral,action,1
198,"Another strategy undertook by Erajaya Group is to develop electronic-based selling (""e-commerce"") through www.erafone.com in early 2012.",e-commerce development,,positive,action,1
199,Another strategy undertook by Erajaya Group is to develop electronic-based selling (e-commerce) through www.erafone.com in early 2012.,e-commerce,s,positive,action,1
200,Aquaculture operation received Runner Up for Asian Feed Miller Sustainability Award 2019.,sustainable aquaculture,s,positive,outcome,1
201,"Arising challenges, such as cyber crime due to digitization acceleration and issues caused by climate change, compel BNI into becoming an agent of change that must be perpetually ready to adapt and evolve in facing all occurring changes.",climate change risk,none,negative,none,1
202,"Arising challenges, such as cyber crime due to digitization acceleration and issues caused by climate change, compel BNI into becoming an agent of change that must be perpetually ready to adapt and evolve in facing all occurring changes.",risk management,g,neutral,action,2
203,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification,sustainable palm oil certification,g,positive,outcome,1
204,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,certification,s,positive,outcome,1
205,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification,s,positive,outcome,2
206,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification achievement,g,positive,outcome,2
207,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification and 100% target,,positive,commitment,1
208,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,ispo certification progress,e,positive,outcome,1
209,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable agriculture,e-s-g,positive,action,1
210,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable certification progress,s,positive,outcome,1
211,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification and our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,sustainable palm oil certification,e,positive,outcome,2
212,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification.,sustainable certification,e,positive,outcome,1
213,Around 89% of our plantations have achieved the Indonesian Sustainable Palm Oil (ISPO) certification... on track to achieve 100% ISPO certification by end of 2024.,sustainable certification,s,positive,commitment,1
214,"As a Company engaged in service industry, the Company does not produce environmentally friendly products. However, the entire process of operational activities must be efficient to reduce the emissions from energy consumption in the multimedia process.",environmental efficiency,e,positive,action,1
215,"As a UNGC signatory, KPMG Norway is committed to developing its business in accordance with the Ten Principles for Corporate Sustainability.",un global compact principles,,positive,commitment,1
216,"As a company committed to fostering sustainable economic growth, BRMS steadfastly continues to support initiatives targeting the achievement of sustainable development goals.",sdgs support,e-s,positive,commitment,1
217,"As a company committed to fostering sustainable economic growth, BRMS steadfastly continues to support initiatives targeting the achievement of sustainable development goals.",sustainable economic growth,none,positive,commitment,1
218,"As a company in the banking industry, BNI responded to the challenge by implementing sustainable finance.",sustainable finance,s,positive,action,1
219,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",food safety,s,positive,commitment,1
220,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",product safety,s,positive,commitment,1
221,"As a food products producer, providing safe and nutritious products to meet increasingly diverse consumer demands in terms of choice, convenience, and nutritional content is our top priority.",product safety and nutrition,s,positive,commitment,3
222,As a form of implementation of the commitment and participation of government programs (Presidential Regulation No.,align the company's work with the objectives of sustainable development goals,none,positive,commitment,1
223,"As a form of implementation of the commitment and participation of government programs (Presidential Regulation No. 59 2017 on the Implementation of Sustainable Development Goals), BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.",government program alignment,s,positive,commitment,1
224,"As a global community, we are faced with challenges that will decide our future.",global challenges,e-s-g,neutral,none,2
225,"As a global community, we are faced with challenges that will decide our future.",societal impact,s,neutral,none,1
226,"As a global company committed to environmental stewardship, it is our responsibility to remain informed of climate-related policy, regulation, and the most comprehensive, relevant sustainability reporting frameworks.",environmental stewardship,,positive,commitment,1
227,"As a more environmental-friendly choice, Starbucks, Pizza Marzano, Genki Sushi, and Subway have plant-based options in their menu lists.",sustainable product offerings,none,positive,outcome,1
228,"As a more environmental-friendly choice, Starbucks, Pizza Marzano, Genki Sushi, and Subway have plant-based options in their menu lists.",sustainable products,e,positive,outcome,1
229,"As a public company, implementation of good corporate governance (GCG) is a must.",corporate governance,e-s-g,positive,commitment,2
230,"As a public company, implementation of good corporate governance (GCG) is a must. The company complies with all relevant rules and did not obtain any fine or litigation throughout the year.",corporate governance,g,positive,outcome,1
231,"As a public company, implementation of good corporate governance (GCG) is a must. The company complies with all relevant rules and did not obtain any fine or litigation throughout the year.",corporate governance compliance,g,positive,outcome,1
232,"As a responsible company, BRMS participates in realizing this commitment because climate resilience also plays an important role in the sustainability of the mineral mining sector.",climate resilience,none,positive,commitment,1
233,"As a result of the LCA, we are able to identify the key focus areas in our business and make science-based improvements.",science-based improvements,e,positive,outcome,1
234,"As a retail company, PT Mitra Adiperkasa Tbk (MAP) is committed to be responsible in the environmental, social, and governance (ESG) management in our business operations.",esg management,e-s-g,positive,commitment,1
235,"As a retail company, PT Mitra Adiperkasa Tbk (MAP) is committed to be responsible in the environmental, social, and governance (ESG) management in our business operations.",esg management commitment,e-s,positive,commitment,1
236,"As a road tester, we hope to share our findings as an example for other organisations, especially those in relevant sectors.",knowledge sharing,e,positive,commitment,1
237,"As a signatory to the UN Global Compact, we work to combat corruption in all its forms.",anti-corruption,e,positive,action,2
238,"As of the end of 2015, AndroidNation has grew to 6 outlets at Senayan City Jakarta, Paragon Citymall Semarang, Tunjungan Plaza Surabaya, Grand Indonesia Jakarta, Pasific Place Jakarta, and Mall Alam Sutera Tangerang.",retail expansion,,positive,outcome,1
239,"As of the end of 2023, Rp113,224 billion of financing has been disbursed to the MSMEs.",msme finance,none,positive,outcome,1
240,"As one of State-owned Enterprises (SOE), BNI also makes persistent efforts to develop a better Indonesia in the future by continuing to collaborate with the community as well as providing excellent service to its customers.",community development,s,positive,commitment,3
