,aspect,count
106,environmental impact,9
107,Legal Compliance,9
108,emissions reduction,9
109,supply chain management,9
110,work environment,9
111,conflict of interest,9
112,traceability,9
113,internal controls,9
114,whistleblowing,9
115,sustainability strategy,9
116,peatland management,9
117,internal control system,9
118,environmental performance,9
119,healthcare,9
120,employment,9
121,environmental stewardship,9
122,Regulatory Compliance,9
123,digital transformation,8
124,labor rights,8
125,renewable energy adoption,8
126,performance evaluation,8
127,human capital,8
128,supply chain sustainability,8
129,customer engagement,8
130,Governance Structure,8
131,board governance,8
132,training programs,8
133,infrastructure,8
134,resource use,8
135,product recalls,8
136,supply chain traceability,8
137,education access,8
138,hazardous waste management,8
139,sustainable development goals,8
140,asset management,8
141,financial performance,8
142,healthcare access,8
143,sustainable bonds,8
144,financial inclusion,8
145,sustainability integration,8
146,environmental sustainability,8
147,materiality assessment,8
148,tree planting,7
149,workforce size,7
150,SDG alignment,7
151,wages,7
152,lingkungan,7
153,independence,7
154,accounting standards,7
155,air quality,7
156,energy intensity,7
157,capacity building,7
158,employee retention,7
159,financial compliance,7
160,environmental costs,7
161,community impact,7
162,recycling,7
163,economic growth,7
164,MSMEs,7
165,strategic partnerships,7
166,tax,7
167,leadership development,7
168,accounting standards compliance,7
169,legal proceedings,7
170,community relations,6
171,governance structures,6
172,accountability,6
173,community welfare,6
174,waste reduction,6
175,energy,6
176,grievance mechanism,6
177,sustainable agriculture,6
178,Diversity,6
179,dividend policy,6
180,climate resilience,6
181,environment,6
182,worker safety,6
183,geothermal energy,6
184,environmental,6
185,water,6
186,emission reduction,6
187,remuneration policy,6
188,debt-to-equity ratio,6
189,governance compliance,6
190,Economic and Community Guarantee,6
191,environmental complaints,6
192,data security,6
193,foreign exchange risk,6
194,internal control,6
195,Anti-Corruption,6
196,shareholder rights,6
197,wage equality,6
198,Occupational Safety,6
199,community health and safety,6
200,board meetings,6
201,sustainability performance,6
202,Tax Compliance,6
203,diversity and inclusion,6
204,Waste Management,6
205,energy management,6
206,CSR,6
207,water access,6
208,ethical compliance,6
209,mangrove restoration,6
210,financial risk,6
211,sustainable product innovation,6
212,GHG emissions reduction,6
213,partnerships,6
214,governance principles,6
215,infrastructure development,6
216,economic development,6
217,anti-money laundering,6
218,food security,6
219,corporate meetings,6
220,climate change mitigation,6
221,cultural preservation,5
222,shareholder engagement,5
223,sustainable development,5
224,reporting transparency,5
225,Employee Benefits,5
226,employee rights,5
227,community infrastructure,5
228,social,5
229,supply chain partnerships,5
230,competency development,5
231,audit committee independence,5
232,UNKNOWN,5
233,interest rate risk,5
234,sustainability culture,5
235,smallholder support,5
236,governance accountability,5
237,sustainability governance,5
238,minimum wage,5
239,Youth Access Prevention,5
240,corporate actions,5
241,income_tax_payment,5
242,disaster response,5
243,tax management,5
244,gender balance,5
245,whistleblowing system,5
246,share ownership,5
247,land restoration,5
248,water conservation,5
249,community,5
250,communication,5
251,related party transactions,5
252,mining practices,5
253,species conservation,5
254,diversity and equity,5
255,environmental impact reduction,5
256,community investment,5
257,sustainable operations,5
258,Compliance,5
259,community collaboration,5
260,employee safety,5
261,plastic recycling,5
262,sustainable growth,5
263,governance practices,5
264,CSR programs,5
265,supply chain efficiency,5
266,social inclusion,5
267,education support,5
268,risk mitigation,5
269,social impact,5
270,ethical conduct,5
271,non-discrimination,5
272,corporate governance structure,4
273,business ethics,4
274,Transparency,4
275,leadership,4
276,sustainability commitment,4
277,employee well-being,4
278,sustainable infrastructure,4
279,data confidentiality,4
280,corruption risk assessment,4
281,grievance resolution,4
282,sustainability performance evaluation,4
283,continuous improvement,4
284,safety protocols,4
285,Risk management,4
286,supply chain transparency,4
287,administrative sanctions,4
288,land management,4
289,community education,4
290,community education programs,4
291,audit governance,4
292,employee satisfaction,4
293,gearing ratio,4
294,energi,4
295,scholarships,4
296,feedback,4
297,product quality,4
298,ownership,4
299,occupational health,4
300,air quality monitoring,4
301,revenue,4
302,waste disposal,4
303,Economic Performance,4
304,governance_governance,4
305,Board composition,4
306,herbicide procurement,4
307,fertilizer procurement,4
308,carbon footprint,4
309,remuneration policies,4
310,health education,4
311,land use,4
312,public-private partnerships,4
313,employee sustainability training,4
314,share issuance,4
315,grievance mechanisms,4
316,community economic development,4
317,Credit risk management,4
318,Education support,4
319,debt management,4
320,MSME support,4
321,wildlife conservation,4
322,asset-backed securities,4
323,internal audits,4
324,education outreach,4
325,customer service,4
326,forest preservation,4
327,financial stability,4
328,water pollution,4
329,procurement practices,4
330,digitalization,4
331,Community engagement,4
332,labor relations,4
333,public health,4
334,AIR QUALITY,4
335,land use management,4
336,gender pay equity,4
337,social performance,4
338,child labor,4
339,business sustainability,4
340,environmental awareness,4
341,sustainable business practices,4
342,conflict_of_interest,4
343,transparency and accountability,4
344,business performance,4
345,Community Impact,4
346,integrity,4
347,financial allocation,4
348,capital goods investment,4
349,employee health,4
350,hcv assessment,4
351,renewable energy supply,4
352,Supplier Compliance,4
353,mangrove conservation,4
354,governance independence,4
355,climate risk management,4
356,sustainable innovation,4
357,sustainability practices,4
358,Audit Committee,4
359,Ethical Compliance,4
360,Sustainability,4
361,water resource management,4
362,biodiversity impact,4
363,foreign exchange risk management,4
364,financial transparency,4
365,tax reporting,4
366,ethical governance,4
367,anti-bribery and corruption,4
368,taxes,4
369,insider trading,4
370,business continuity,4
371,asset impairment,3
372,pension liabilities,3
373,local communities,3
374,reserve funds,3
375,financial hedging,3
376,training hours,3
377,resource management,3
378,corporate governance implementation,3
379,Governance performance evaluation,3
380,gender inclusion,3
381,economic recovery,3
382,financial instruments,3
383,service quality,3
384,employees,3
385,employee benefits liabilities,3
386,shareholder disclosure,3
387,capital management,3
388,working hours,3
389,human resources,3
390,plastic packaging,3
391,hazard identification and risk assessment,3
392,Shareholder Engagement,3
393,training and development,3
394,energy consumption reduction,3
395,Board Composition,3
396,Stakeholder Collaboration,3
397,sustainable resource management,3
398,environmental management systems,3
399,education infrastructure,3
400,minimum wage compliance,3
401,work environment safety,3
402,health access,3
403,material safety,3
404,community complaints,3
405,monetary policy,3
406,Whistleblowing System,3
407,sustainable financing,3
408,cybersecurity,3
409,joint meetings,3
410,HR management,3
411,pest control,3
412,sosial,3
413,executive accountability,3
414,executive remuneration,3
415,employee recognition,3
416,financial liabilities,3
417,revenue recognition,3
418,committee formation,3
419,fair value measurement,3
420,succession planning,3
421,land rights,3
422,business integrity,3
423,independent verification,3
424,Sustainability Reporting,3
425,data protection,3
426,anti-bribery,3
427,compliance monitoring,3
428,food safety,3
429,community well-being,3
430,certification,3
431,corporate_governance,3
432,waste and effluent,3
433,maternity leave,3
434,customer complaint resolution,3
435,waste recycling,3
436,information accessibility,3
437,recruitment practices,3
438,conflict of interest management,3
439,anti-corruption policy,3
440,Corporate governance,3
441,employee training and development,3
442,educational partnerships,3
443,national development,3
444,sustainable urban development,3
445,regulatory adaptation,3
446,environmentally friendly materials,3
447,financial management,3
448,risiko kesehatan,3
449,community health,3
450,deforestation,3
451,retained earnings,3
452,eco-friendly materials,3
453,product impact,3
454,fire risk management,3
455,Community Development,3
456,credit risk assessment,3
457,customer feedback,3
458,recyclability,3
459,AML/CFT/WMD Proliferation Programs,3
460,strategic alignment,3
461,governance oversight,3
462,SDGs,3
463,productivity,3
464,going concern assessment,3
465,occupational safety,3
466,Product Safety,3
467,inclusive workplace,3
468,ecosystem restoration,3
469,employee productivity,3
470,Energy Efficiency,3
471,child and forced labor,3
472,paper consumption,3
473,fairness,3
474,packaging waste,3
475,Terrorism Financing Prevention,3
476,data privacy,3
477,workplace culture,3
478,clean water infrastructure,3
479,asset adaptation,3
480,Board resignation policy for financial crime,3
481,Resignation for financial crime enforcement,3
482,Insider trading policy,3
483,Global insider trading policy enforcement,3
484,Anti-corruption and anti-fraud policy,3
485,Global anti-corruption and anti-fraud policy enforcement,3
486,mental health support,3
487,ethics training,3
488,stock market listing,3
489,ethics policy enforcement,3
490,whistleblower policy,3
491,training and awareness,3
492,inclusive practices,3
493,risk mitigation strategy,3
494,market monitoring,3
495,ecosystem rehabilitation,3
496,energy consumption efficiency,3
497,low carbon economy,3
498,board independence,3
499,environmental performance monitoring,3
500,social_responsibility,3
501,audit evidence,3
502,whistleblower protection,3
503,strategic planning,3
504,Credit exposure limits,3
505,Counterparty creditworthiness,3
506,Credit risk monitoring,3
507,High-risk lending policies,3
508,Collateral use,3
509,Collateral assets,3
510,Credit risk allowances,3
511,Credit risk diversification,3
512,foreign exchange transactions,3
513,currency matching strategy,3
514,fixed exchange rate agreement,3
515,currency position limitation,3
516,production volume,3
517,safety awareness campaigns,3
518,resource utilization efficiency,3
519,environmental transparency reporting,3
520,resource allocation,3
521,production leadership,3
522,sustainable efforts,3
523,audit practices,3
524,infrastructure maintenance,3
525,local supplier engagement,3
526,supplier collaboration,3
527,commitment,3
528,land use efficiency,3
529,community support,3
530,product environmental impact,3
531,stakeholder partnerships,3
532,Fire Prevention,3
533,geothermal exploration,3
534,water use,3
535,fire monitoring,3
536,corporate social responsibility,3
537,local sourcing,3
538,governance framework,3
539,information access,3
540,electric vehicle adoption support,3
541,environmental audit reliability,3
542,climate action,3
543,employee ownership,3
544,Sustainability reporting,3
545,confidentiality,3
546,voting procedures,3
547,accident-free operational performance,3
548,equity management,3
549,occupational safety and health,3
550,financial literacy,3
551,Stakeholder engagement,3
552,stakeholder trust,3
553,employment opportunities,3
554,asset valuation,3
555,human rights due diligence,3
556,peat management,3
557,Environmental Management Systems,3
558,health insurance,3
559,environmental conservation,3
560,mining,3
561,ethics training completion,3
562,work-life balance,3
563,smoke-free products,3
564,travel policy,3
565,agriculture,3
566,revegetation,3
567,business strategy,3
568,share structure,3
569,share buyback,3
570,blood donation,3
571,loan acquisition,3
572,women empowerment,3
573,Whistleblowing,3
574,double materiality assessment,3
575,logistics efficiency,3
576,ethics and compliance,3
577,financial ratio compliance,3
578,Anti-Money Laundering,3
579,bauxite residue,3
580,equity,3
581,Corporate Social Responsibility,3
582,client collaboration for ESG initiatives,3
583,collaboration,3
584,coastal cleanup,3
585,travel,3
586,sustainability goals,3
587,Regulatory compliance,3
588,wellbeing,3
589,electricity consumption,3
590,fair compensation,3
591,clean energy,3
592,Sustainability Policy,3
593,financial resilience,3
594,reclamation and post-mining activities,2
595,disclosure quality,2
596,equipment rental,2
597,wastewater discharge,2
598,land use rights,2
599,reservoir management,2
600,reservoir modeling,2
601,water quality,2
602,industry collaboration,2
603,stakeholder dialogue,2
604,independent assurance,2
605,social welfare,2
606,audit oversight,2
607,control systems,2
608,regulatory adherence,2
609,liability classification,2
610,governance integration,2
611,human resource management,2
612,fuel consumption,2
613,digital governance,2
614,financial instrument classification,2
615,hazardous waste handling,2
616,policy commitments,2
617,Sustainability Disclosure,2
618,product development,2
619,environmental protection,2
620,ownership and control,2
621,energy and natural resources,2
622,environmental and reclamation expenditures,2
623,fossil fuel usage,2
624,tax liabilities,2
625,employee incentives,2
626,internal control deficiencies,2
627,supply chain resilience,2
628,measurement of environmental impacts,2
629,employee health and safety,2
630,ecosystem,2
631,renewable energy contribution,2
632,geothermal energy development,2
633,watershed management,2
634,currency risk mitigation,2
635,occupational health services,2
636,environmental impact management,2
637,environmental issues,2
638,community livelihood support,2
639,Audit Committee formation,2
640,sistem manajemen lingkungan,2
641,Code of Ethics,2
642,forest fire prevention,2
643,geothermal energy operations,2
644,Stakeholder Identification,2
645,environmental investment,2
646,CSR funding,2
647,inflation,2
648,geothermal energy capacity,2
649,associations,2
650,traffic management,2
651,risk_management,2
652,community participation,2
653,renewable energy mix,2
654,geothermal energy generation,2
655,Customer Satisfaction,2
656,plastic packaging production,2
657,Renewable Energy Mix,2
658,community feedback access,2
659,air quality management,2
660,community well-being impact,2
661,sustainability programs,2
662,HCV assessment,2
663,CSR/ESG expenditure,2
664,mangrove rehabilitation,2
665,vehicle emissions,2
666,Net Zero Emission targets,2
667,habitat connectivity,2
668,natural disaster risk,2
669,employee skill development,2
670,Career Development,2
671,skill development,2
672,community resources,2
673,endemic tree planting,2
674,Financial Transparency,2
675,water efficiency,2
676,employee classification,2
677,regulatory communication,2
678,employee competence,2
679,financial reporting classification,2
680,goodwill valuation,2
681,impact prioritization,2
682,bauxite mining,2
683,risk governance,2
684,water usage intensity,2
685,disease prevalence,2
686,resource exploration,2
687,capital expenditure,2
688,job opportunities,2
689,industry association membership,2
690,Food security,2
691,sanctions,2
692,decision-making process,2
693,reclamation,2
694,regional income,2
695,project management,2
696,local economy empowerment,2
697,village development,2
698,financial governance,2
699,infrastructure access,2
700,clean water access,2
701,pengelolaan lingkungan,2
702,hazard identification,2
703,non-controlling interest,2
704,environmental footprint,2
705,parental leave,2
706,production optimization,2
707,accounting assumptions,2
708,indirect economic impacts,2
709,social equity,2
710,CSR initiatives,2
711,climate protection,2
712,material innovation,2
713,market stability,2
714,eco-friendly products,2
715,surface water discharge,2
716,carbon trading,2
717,environmental monitoring,2
718,compliance with regulations,2
719,local economic development,2
720,ESG integration,2
721,sanitation,2
722,economic sustainability,2
723,Reforestation,2
724,Liquidity Risk,2
725,ownership structure,2
726,workforce competence,2
727,documentation management,2
728,healthy lifestyle promotion,2
729,teacher development,2
730,diversification,2
731,holiday allowance,2
732,diversity and equal opportunity,2
733,equal pay,2
734,board performance evaluation,2
735,workplace facilities,2
736,water infrastructure,2
737,Whistleblower Protection,2
738,economic investment,2
739,digital infrastructure,2
740,employee participation,2
741,coal production,2
742,equal employment opportunities,2
743,Corporate Reporting,2
744,mining license revocation,2
745,payment options,2
746,retirement policies,2
747,accounting policy consistency,2
748,spills,2
749,community partnerships,2
750,community grievances,2
751,legal governance,2
752,audit procedures,2
753,sustainable finance disclosures,2
754,employment equality,2
755,local stakeholder engagement,2
756,digital innovation,2
757,lease accounting,2
758,employee benefits liability,2
759,deferred tax assets,2
760,related parties,2
761,employee commitment,2
762,Debt Management,2
763,production facilities,2
764,diversity inclusion,2
765,tax transparency,2
766,disaster relief,2
767,business skills training,2
768,credit risk concentration,2
769,strategic governance,2
770,environmental preservation,2
771,Education Accessibility,2
772,health safety,2
773,financial crimes,2
774,Governance Framework,2
775,Financial Compliance,2
776,infrastructure_facilities,2
777,ESG strategy alignment,2
778,Environmental Sustainability,2
779,watershed conservation,2
780,policy engagement,2
781,smoking health risks,2
782,corporate ethics,2
783,Social Responsibility,2
784,Remuneration structure,2
785,anti-corruption awareness,2
786,teacher compensation,2
787,Healthcare Access,2
788,equal opportunity,2
789,gender equity,2
790,forced labor and child labor,2
791,labor law compliance,2
792,Complaint Mechanisms,2
793,organic fertilizer production,2
794,pemberdayaan masyarakat,2
795,Board Diversity,2
796,depreciation policy,2
797,internal control systems and risk management,2
798,climate,2
799,performance-based remuneration,2
800,governance evaluation,2
801,Audit Planning,2
802,internal control systems,2
803,board attendance,2
804,GCG principles implementation,2
805,sustainable business growth,2
806,environmental education,2
807,cost efficiency,2
808,meeting frequency,2
809,Risk Management Effectiveness,2
810,information security,2
811,social development,2
812,welfare improvement,2
813,HR Competency,2
814,agricultural production,2
815,ESG implementation,2
816,crop diversification,2
817,food assistance,2
818,legal disputes,2
819,forest management,2
820,audit,2
821,communication policy,2
822,financial reporting transparency,2
823,waste upcycling,2
824,Wastewater Management,2
825,disclosure methods,2
826,vendor selection,2
827,asset depreciation,2
828,workforce,2
829,financial ethics policy,2
830,fixed assets,2
831,debt repayment,2
832,control activities,2
833,debt reduction,2
834,credit rating,2
835,disaster resilience,2
836,manajemen risiko kredit,2
837,compensation structure,2
838,liquidity risk management,2
839,Anti-corruption,2
840,Grievance Mechanisms,2
841,corporate governance policies,2
842,governance governance principles,2
843,board performance,2
844,stakeholder accountability,2
845,income_generating_activities,2
846,audit effectiveness,2
847,Supplier Engagement,2
848,GHG Emissions,2
849,EUDR Compliance,2
850,Education,2
851,process improvement,2
852,grievance handling,2
853,customer relations,2
854,disease prevention,2
855,child labor/forced labor,2
856,fair remuneration,2
857,emission control,2
858,Energy consumption,2
859,remuneration compliance,2
860,climate strategy,2
861,operations in conflict-affected regions,2
862,Sumber daya manusia,2
863,share ownership transparency,2
864,human resources management,2
865,Workforce Diversity,2
866,energy conservation,2
867,Sustainability Indicators,2
868,Supplier Performance,2
869,safety training,2
870,age distribution,2
871,Board Governance,2
872,employee representation,2
873,plastic waste management,2
874,spill prevention,2
875,Net Zero Emission,2
876,pilar sosial (people),2
877,drainage system development,2
878,energy use,2
879,Operational Efficiency,2
880,firefighting response,2
881,monitoring continuity,2
882,hotspot monitoring,2
883,renewable_energy,2
884,regulatory engagement,2
885,packaging,2
886,measurement systems,2
887,fire danger rating systems,2
888,inclusion and diversity,2
889,labor agreements,2
890,procurement efficiency,2
891,pollution prevention,2
892,manajemen risiko,2
893,waste segregation,2
894,climate monitoring,2
895,financial disclosure,2
896,environmental cost,2
897,ethical_behavior,2
898,public disclosure,2
899,ethical business management,2
900,social and environmental responsibility,2
901,corporate governance framework,2
902,ethical decision-making,2
903,economic,2
904,research collaboration,2
905,community contribution,2
906,governance reporting,2
907,equity accounting,2
908,external audit,2
909,number of employees,2
910,governance effectiveness,2
911,oil palm seed procurement,2
912,transportation units,2
913,FFB transport units,2
914,sports participation,2
915,shareholder returns,2
916,relationships,2
917,financial program facilitation,2
918,internal audit,2
919,financial literacy and planning,2
920,accessibility audits for disabled employees,2
921,disability awareness and inclusion training,2
922,self-assessment policy,2
923,audit committee oversight,2
924,fire safety,2
925,strategy implementation,2
926,economic policy,2
927,climate impact,2
928,equity growth,2
929,product certification,2
930,Sustainability Strategy,2
931,GREENHOUSE GAS EMISSIONS,2
932,customer experience,2
933,business innovation,2
934,resource optimization,2
935,market expansion,2
936,employee sustainability engagement,2
937,income generation,2
938,community programs,2
939,third-party verification,2
940,physical activity and health promotion,2
941,training participation,2
942,compliance with labor laws,2
943,disability inclusion,2
944,economic resilience,2
945,workforce composition,2
946,social security,2
947,risk assessment,2
948,pension,2
949,pension contributions,2
950,double materiality,2
951,decent work,2
952,corruption,2
953,supply chain risk management,2
954,auditor appointment,2
955,dampak sosial,2
956,policy alignment,2
957,occupational health management,2
958,decarbonization,2
959,zero waste,2
960,technology innovation,2
961,governance processes,2
962,carbon footprint reduction,2
963,Data Security,2
964,intellectual property rights,2
965,organizational structure,2
966,recycled materials usage,2
967,risk monitoring,2
968,Board independence,2
969,workplace equality,2
970,Board Structure,2
971,Health and Safety,2
972,environmental grievance handling,2
973,CO2 sequestration,2
974,biodiversity preservation,2
975,strategic preparedness,2
976,debt-to-EBITDA ratio,2
977,inclusivity,2
978,Education encouragement,2
979,Work environment,2
980,Product Innovation,2
981,emission intensity,2
982,tax strategy,2
983,ethics and integrity,2
984,Training & Development,2
985,debt_to_equity_ratio,2
986,disclosure accuracy,2
987,customer complaints,2
988,employee count,2
989,customer satisfaction survey,2
990,waste reuse,2
991,compliance with laws,2
992,sustainable practices,2
993,audit processes,2
994,Conflict of Interest,2
995,supply chain labor practices,2
996,conservation,2
997,compensation,2
998,carbon sequestration,2
999,workplace fatalities,2
1000,renewable energy policies,2
1001,Stakeholder Communication,2
1002,Governance Evaluation,2
1003,organic waste recycling,2
1004,Industrial waste upcycling,2
1005,Accounting estimates and policy changes,2
1006,employee sustainability education,2
1007,Accounting policies for fixed assets,2
1008,digital transformation for waste reduction,2
1009,Tax Provisions,2
1010,Circular Economy,2
1011,corruption incidents,2
1012,material usage,2
1013,sustainability training,2
1014,education partnerships,2
1015,stakeholder identification,2
1016,kesehatan dan keselamatan karyawan,2
1017,energy efficiency improvement,2
1018,director tenure,2
1019,vacancy management,2
1020,sustainable communities,2
1021,material topics,2
1022,governance policies,2
1023,freedom of association,2
1024,affiliation compliance,2
1025,environmental reporting,2
1026,green building certification,2
1027,sustainability framework,2
1028,sustainability reporting framework,2
1029,recruitment,2
1030,ESG risk management,2
1031,employment status,2
1032,health outreach,2
1033,environmentally friendly products,2
1034,data management,2
1035,supplier compliance,2
1036,plastic waste reduction,2
1037,supplier engagement,2
1038,sustainable product development,2
1039,green building,2
1040,project delays,2
1041,workforce training,2
1042,production capacity expansion,2
1043,local workforce engagement,2
1044,energy usage,2
1045,community livelihoods,2
1046,product transparency,2
1047,community involvement,2
1048,biodiversity impacts,2
1049,Ownership structure,2
1050,sustainability reporting transparency,2
1051,customer safety,2
1052,government collaboration,2
1053,investor relations,2
1054,work-related injuries,2
1055,digital meetings,2
1056,collateral management,2
1057,waste management efficiency,2
1058,code of conduct implementation,2
1059,bribery,2
1060,share ownership reporting,2
1061,beneficiaries,2
1062,environmental initiatives,2
1063,corporate conduct guidelines,2
1064,wastewater testing,2
1065,recycled material usage,2
1066,tax accounting,2
1067,workforce demographics,2
1068,domestic component procurement,2
1069,community outreach,2
1070,board self-assessment,2
1071,fraud prevention,2
1072,beneficial ownership disclosure,2
1073,risk management effectiveness,2
1074,environmental targets,2
1075,ekonomi,2
1076,supplier compliance monitoring,2
1077,stakeholder welfare,2
1078,risk identification,2
1079,Independent member inclusion,1
1080,Supplier environmental screening,1
1081,Member qualifications,1
1082,expected credit loss calculation,1
1083,financial regulatory compliance,1
1084,Supply chain environmental impacts,1
1085,supply chain development,1
1086,Agricultural Training,1
1087,Waste diversion,1
1088,Waste generation,1
1089,Waste disposal,1
1090,market partnerships,1
1091,food supply chain efficiency,1
1092,social change,1
1093,Committee size,1
1094,agricultural practices,1
1095,loans,1
1096,Expertise requirements,1
1097,Sustainable Farming,1
1098,General Meetings,1
1099,REMUNERATION,1
1100,terms of office,1
1101,corporate financial obligations,1
1102,Conflict of interest management,1
1103,power plant construction,1
1104,financial instrument valuation,1
1105,ownership stake and financial commitment,1
1106,shareholder concentration,1
1107,HR expertise integration,1
1108,insider ownership,1
1109,legislative changes,1
1110,Corporate Guarantees,1
1111,credit policy,1
1112,Financial Obligations,1
1113,health support,1
1114,community agricultural development,1
1115,healthcare referral,1
1116,medical transportation,1
1117,mobile health services,1
1118,healthcare program effectiveness,1
1119,community health outreach,1
1120,legal identity,1
1121,civil registration,1
1122,Social Security Access,1
1123,clean water,1
1124,Waste impact management,1
1125,public cemetery,1
1126,Aquaculture Development,1
1127,Community Welfare,1
1128,Sustainable Livelihood Support,1
1129,fire mitigation,1
1130,ecosystem quality,1
1131,GHG emissions intensity,1
1132,Scope 3 GHG emissions,1
1133,emission factors,1
1134,CO2 measurement,1
1135,sustainable peat management,1
1136,water level monitoring,1
1137,audit committee meeting frequency,1
1138,supply chain continuity,1
1139,supply chain monitoring,1
1140,member independence,1
1141,SAT compliance,1
1142,carbon stock measurement,1
1143,term limits,1
1144,Age group distribution,1
1145,remediation mechanisms,1
1146,RSPO certification,1
1147,supply chain compliance,1
1148,Aquaculture Yield Outcomes,1
1149,Fisheries Support,1
1150,community facilities,1
1151,credit risk diversification,1
1152,community economy,1
1153,infrastructure support,1
1154,cultural heritage preservation,1
1155,impairment management,1
1156,VOLUNTARY TURNOVER,1
1157,maternal and child health,1
1158,Waste generation and impacts,1
1159,"Air emissions (NOx, SOx)",1
1160,"Micro, small and medium enterprises (MSMEs)",1
1161,Resource provision,1
1162,Human capital development,1
1163,Educational infrastructure,1
1164,Community education,1
1165,ODS emissions,1
1166,committee performance,1
1167,Environmental transparency,1
1168,HCV assessment progression,1
1169,ecosystem health,1
1170,fire training,1
1171,fire readiness,1
1172,community livelihood,1
1173,PARENTAL LEAVE,1
1174,Employee benefits disparity,1
1175,Employee hires and turnover,1
1176,directors' expertise,1
1177,organizational compliance,1
1178,economic risk,1
1179,raw material risk,1
1180,accessibility,1
1181,technology risk,1
1182,business competition risk,1
1183,product recall process,1
1184,contract implementation,1
1185,local recruitment,1
1186,ketenagakerjaan,1
1187,Risk Management Committee Structure,1
1188,kesehatan dan keselamatan kerja,1
1189,OHS impact prevention/mitigation,1
1190,Worker health promotion,1
1191,member competence,1
1192,struktur komite,1
1193,efektivitas komite,1
1194,tata kelola teknologi informasi,1
1195,Worker training on OHS,1
1196,disclosure policy,1
1197,efektivitas kompensasi,1
1198,Worker participation in OHS,1
1199,resignation policy,1
1200,strategic decision-making,1
1201,board structure,1
1202,Risk Management Committee Meetings,1
1203,asset recognition criteria,1
1204,sustainable products,1
1205,sustainable lifestyles,1
1206,waste percentage,1
1207,recycled waste,1
1208,shareholding,1
1209,reserves management,1
1210,payables,1
1211,related parties transactions,1
1212,effluent and water management,1
1213,contract cost capitalization,1
1214,revenue measurement,1
1215,Pengembangan Sumber Daya Manusia,1
1216,water and energy efficiency,1
1217,waste management policies,1
1218,environmentally friendly technology innovation,1
1219,waste management program,1
1220,Risk Management Framework Evaluation,1
1221,procurement policy,1
1222,market consultation,1
1223,community rights,1
1224,Lingkungan Kerja,1
1225,Risk Management Collaboration,1
1226,succession policy,1
1227,annual self-assessment,1
1228,GOVERNANCE STRUCTURE,1
1229,tax obligations,1
1230,risk assessment methodologies,1
1231,scope of risk assessment,1
1232,Occupational health and safety management,1
1233,hazard identification factors,1
1234,risk control hierarchy,1
1235,natural disaster risks,1
1236,Right to Stop program,1
1237,anonymous hazard reporting,1
1238,incident investigation,1
1239,continuous improvement from lessons learned,1
1240,occupational health and safety (K3) system updates,1
1241,General ESG Responsibility,1
1242,Parental leave policy,1
1243,Environmental Management,1
1244,Anti-Corruption Policies,1
1245,Ethics and Compliance,1
1246,Transparency and Disclosure,1
1247,community land ownership,1
1248,land use designation restoration,1
1249,Employment distribution,1
1250,assessment of financial assets,1
1251,DATA ACCURACY,1
1252,LOCAL WORKFORCE,1
1253,governance discretion,1
1254,contract compliance,1
1255,organizational leadership,1
1256,meeting participation,1
1257,tax payments,1
1258,modal struktur,1
1259,keuangan strategi,1
1260,kompensasi struktur,1
1261,Occupational health services,1
1262,pendekatan risiko,1
1263,rapat keuangan,1
