ticker,company_name,aliases,sector
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,"[""BBRI"", ""Bank Rakyat Indonesia (Persero)"", ""Bank Rakyat Indonesia"", ""BRI"", ""Bank BRI""]",Finance
BBRM,PT Pelayaran Nasional Bina Buana Raya Tbk,"[""BBRM"", ""Pelayaran Nasional Bina Buana Raya""]",Transportation
BBSI,PT Krom Bank Indonesia Tbk,"[""BBSI"", ""Krom Bank Indonesia""]",Finance
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,"[""BBSS"", ""Bumi Benowo Sukses Sejahtera""]",Industrial services
BBTN,PT Bank Tabungan Negara (Persero) Tbk,"[""BBTN"", ""Bank Tabungan Negara (Persero)"", ""Bank Tabungan Negara""]",Finance
BBYB,PT Bank Neo Commerce Tbk,"[""BBYB"", ""Bank Neo Commerce""]",Finance
BCAP,PT MNC Kapital Indonesia Tbk,"[""BCAP"", ""MNC Kapital Indonesia""]",Finance
BCIP,PT Bumi Citra Permai Tbk,"[""BCIP"", ""Bumi Citra Permai""]",Finance
BDKR,PT Berdikari Pondasi Perkasa Tbk,"[""BDKR"", ""Berdikari Pondasi Perkasa""]",Industrial services
BDMN,PT Bank Danamon Indonesia Tbk,"[""BDMN"", ""Bank Danamon Indonesia""]",Finance
BEEF,PT Estika Tata Tiara Tbk,"[""BEEF"", ""Estika Tata Tiara""]",Consumer non-durables
BEER,PT Jobubu Jarum Minahasa Tbk,"[""BEER"", ""Jobubu Jarum Minahasa""]",Consumer non-durables
BEKS,PT Bank Pembangunan Daerah Banten (Perseroda) Tbk,"[""BEKS"", ""Bank Pembangunan Daerah Banten (Perseroda)""]",Finance
BELI,PT Global Digital Niaga Tbk,"[""BELI"", ""Global Digital Niaga""]",Retail trade
BELL,PT Trisula Textile Industries Tbk,"[""BELL"", ""Trisula Textile Industries""]",Consumer non-durables
BESS,PT Batulicin Nusantara Maritim Tbk,"[""BESS"", ""Batulicin Nusantara Maritim""]",Transportation
BEST,PT Bekasi Fajar Industrial Estate Tbk,"[""BEST"", ""Bekasi Fajar Industrial Estate""]",Industrial services
BFIN,PT BFI Finance Indonesia Tbk,"[""BFIN"", ""BFI Finance Indonesia""]",Finance
BGTG,PT Bank Ganesha Tbk,"[""BGTG"", ""Bank Ganesha""]",Finance
BHAT,PT Bhakti Multi Artha Tbk,"[""BHAT"", ""Bhakti Multi Artha""]",Commercial services
BHIT,PT MNC Asia Holding Tbk,"[""BHIT"", ""MNC Asia Holding""]",Consumer services
BIKE,PT Sepeda Bersama Indonesia Tbk,"[""BIKE"", ""Sepeda Bersama Indonesia""]",Distribution services
BIMA,PT Primarindo Asia Infrastructure Tbk,"[""BIMA"", ""Primarindo Asia Infrastructure""]",Consumer non-durables
BINA,PT Bank Ina Perdana Tbk,"[""BINA"", ""Bank Ina Perdana""]",Finance
BINO,PT Perma Plasindo Tbk,"[""BINO"", ""Perma Plasindo""]",Producer manufacturing
BIPI,PT Astrindo Nusantara Infrastruktur Tbk,"[""BIPI"", ""Astrindo Nusantara Infrastruktur""]",Energy minerals
BIPP,PT Bhuwanatala Indah Permai Tbk,"[""BIPP"", ""Bhuwanatala Indah Permai""]",Finance
BIRD,PT Blue Bird Tbk,"[""BIRD"", ""Blue Bird""]",Transportation
BISI,PT BISI International Tbk,"[""BISI"", ""BISI International""]",Process industries
BJBR,PT Bank Pembangunan Daerah Jawa Barat & Banten Tbk,"[""BJBR"", ""Bank Pembangunan Daerah Jawa Barat & Banten""]",Finance
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk,"[""BJTM"", ""Bank Pembangunan Daerah Jawa Timur""]",Finance
BKDP,PT Bukit Darmo Property Tbk,"[""BKDP"", ""Bukit Darmo Property""]",Finance
BKSL,PT Sentul City Tbk,"[""BKSL"", ""Sentul City""]",Finance
BKSW,PT Bank QNB Indonesia Tbk,"[""BKSW"", ""Bank QNB Indonesia""]",Finance
BLES,PT Superior Prima Sukses Tbk,"[""BLES"", ""Superior Prima Sukses""]",Non-energy minerals
BLOG,PT Trimitra Trans Persada Tbk,"[""BLOG"", ""Trimitra Trans Persada""]",Transportation
BLTA,PT Berlian Laju Tanker Tbk,"[""BLTA"", ""Berlian Laju Tanker""]",Transportation
BLTZ,PT Graha Layar Prima Tbk,"[""BLTZ"", ""Graha Layar Prima""]",Consumer services
BLUE,PT Berkah Prima Perkasa Tbk,"[""BLUE"", ""Berkah Prima Perkasa""]",Distribution services
BMAS,PT Bank Maspion Indonesia Tbk,"[""BMAS"", ""Bank Maspion Indonesia""]",Finance
BMBL,PT Lavender Bina Cendikia Tbk,"[""BMBL"", ""Lavender Bina Cendikia""]",Commercial services
BMHS,PT Bundamedik Tbk,"[""BMHS"", ""Bundamedik""]",Health services
BMRI,PT Bank Mandiri (Persero) Tbk,"[""BMRI"", ""Bank Mandiri (Persero)"", ""Bank Mandiri"", ""Mandiri""]",Finance
BMSR,PT Bintang Mitra Semestaraya Tbk,"[""BMSR"", ""Bintang Mitra Semestaraya""]",Distribution services
BMTR,PT Global Mediacom Tbk,"[""BMTR"", ""Global Mediacom""]",Consumer services
BNBA,PT Bank Bumi Arta Tbk,"[""BNBA"", ""Bank Bumi Arta""]",Finance
BNBR,PT Bakrie & Brothers Tbk,"[""BNBR"", ""Bakrie & Brothers""]",Industrial services
BNGA,PT Bank CIMB Niaga Tbk,"[""BNGA"", ""Bank CIMB Niaga""]",Finance
BNII,PT Bank Maybank Indonesia Tbk,"[""BNII"", ""Bank Maybank Indonesia""]",Finance
BNLI,PT Bank Permata Tbk,"[""BNLI"", ""Bank Permata""]",Finance
BOAT,PT Newport Marine Services Tbk,"[""BOAT"", ""Newport Marine Services""]",Transportation
BOBA,PT Formosa Ingredient Factory Tbk,"[""BOBA"", ""Formosa Ingredient Factory""]",Consumer non-durables
BOGA,PT Bintang Oto Global Tbk,"[""BOGA"", ""Bintang Oto Global""]",Retail trade
BOLA,PT Bali Bintang Sejahtera Tbk,"[""BOLA"", ""Bali Bintang Sejahtera""]",Consumer services
WSKT,PT Waskita Karya (Persero) Tbk,"[""WSKT"", ""Waskita Karya""]",Industrial services
WTON,PT Wijaya Karya Beton Tbk,"[""WTON"", ""Wijaya Karya Beton"", ""WIKA Beton""]",Non-energy minerals
