"f-20","box-title","full-width","table","link-download href","table 2","link-download href 2","table 3","link-download href 3","table 4","link-download href 4","table 5","link-download href 5","table 6","link-download href 6","table 7","link-download href 7"
"BOAT","30 April 2026 |
								12:39","PT Newport Marine Services Tbk","Surat Pernyataan Direksi 28.04.2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/Surat%20Pernyataan%20Direksi%2028.04.2026.pdf","FinancialStatement-2026-I-BOAT.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/FinancialStatement-2026-I-BOAT.xlsx","FinancialStatement-2026-I-BOAT.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/FinancialStatement-2026-I-BOAT.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/inlineXBRL.zip","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/instance.zip","Laporan Keuangan NMS 31.03.2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOAT/Laporan%20Keuangan%20NMS%2031.03.2026.pdf","",""
"BOBA","21 April 2026 |
								01:03","PT Formosa Ingredient Factory Tbk","LK BOBA mar 2026  - 17 apr 2026 final.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/LK%20BOBA%20mar%202026%20%20-%2017%20apr%202026%20final.pdf","FinancialStatement-2026-I-BOBA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/FinancialStatement-2026-I-BOBA.xlsx","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/instance.zip","017 Penj Perub Liabilitas - 17 apr 2026 ttd.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/017%20Penj%20Perub%20Liabilitas%20-%2017%20apr%202026%20ttd.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/inlineXBRL.zip","FinancialStatement-2026-I-BOBA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOBA/FinancialStatement-2026-I-BOBA.pdf","",""
"BOGA","30 April 2026 |
								19:07","PT Apollo Global Interactive Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/inlineXBRL.zip","LK TW I BOGA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/LK%20TW%20I%20BOGA.pdf","penjelasan perubahan aset liabilitas.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/penjelasan%20perubahan%20aset%20liabilitas.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/instance.zip","FinancialStatement-2026-I-BOGA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/FinancialStatement-2026-I-BOGA.pdf","FinancialStatement-2026-I-BOGA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOGA/FinancialStatement-2026-I-BOGA.xlsx","",""
"BOLA","30 April 2026 |
								20:50","PT Bali Bintang Sejahtera Tbk.","FinancialStatement-2026-I-BOLA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/FinancialStatement-2026-I-BOLA.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/instance.zip","FinancialStatement-2026-I-BOLA.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/FinancialStatement-2026-I-BOLA.xlsx","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/inlineXBRL.zip","SPD BOLA PER 31 MARET 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/SPD%20BOLA%20PER%2031%20MARET%202026.pdf","LAPORAN KEUANGAN BOLA PER 31 MARET 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/LAPORAN%20KEUANGAN%20BOLA%20PER%2031%20MARET%202026.pdf","Perubahan Neraca BOLA Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLA/Perubahan%20Neraca%20BOLA%20Q1%202026.pdf"
"BOLT","24 April 2026 |
								07:54","PT Garuda Metalindo Tbk.","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/inlineXBRL.zip","BOLT Interim Report Q1-2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/BOLT%20Interim%20Report%20Q1-2026.pdf","FinancialStatement-2026-I-BOLT.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/FinancialStatement-2026-I-BOLT.pdf","FinancialStatement-2026-I-BOLT.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/FinancialStatement-2026-I-BOLT.xlsx","BOLT Checklist BAPEPAM Q1-2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BOLT/BOLT%20Checklist%20BAPEPAM%20Q1-2026.pdf","",""
"BPFI","28 April 2026 |
								07:58","PT Woori Finance Indonesia Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/inlineXBRL.zip","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/instance.zip","FinancialStatement-2026-I-BPFI.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/FinancialStatement-2026-I-BPFI.xlsx","LKI PT WFI Tbk Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/LKI%20PT%20WFI%20Tbk%20Q1%202026.pdf","Surat Pengantar Penyampaian Laporan Keuangan.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/Surat%20Pengantar%20Penyampaian%20Laporan%20Keuangan.pdf","FinancialStatement-2026-I-BPFI.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPFI/FinancialStatement-2026-I-BPFI.pdf","",""
"BPII","30 April 2026 |
								09:46","PT Batavia Prosperindo Internasional Tbk.","Surat Pengantar BPI Q1 2026_signed.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/Surat%20Pengantar%20BPI%20Q1%202026_signed.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/inlineXBRL.zip","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/instance.zip","SPD BPI Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/SPD%20BPI%20Q1%202026.pdf","FinancialStatement-2026-I-BPII.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/FinancialStatement-2026-I-BPII.pdf","FINAL BPI KONSOL Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/FINAL%20BPI%20KONSOL%20Q1%202026.pdf","FinancialStatement-2026-I-BPII.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPII/FinancialStatement-2026-I-BPII.xlsx"
"BPTR","30 April 2026 |
								08:49","PT Batavia Prosperindo Trans Tbk.","FinancialStatement-2026-I-BPTR.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/FinancialStatement-2026-I-BPTR.xlsx","SPD BPTR Q1 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/SPD%20BPTR%20Q1%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/inlineXBRL.zip","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/instance.zip","LK BPT 31-03-2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/LK%20BPT%2031-03-2026.pdf","FinancialStatement-2026-I-BPTR.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BPTR/FinancialStatement-2026-I-BPTR.pdf","",""
"BRAM","27 April 2026 |
								16:58","Indo Kordsa Tbk","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/instance.zip","FinancialStatement-2026-I-BRAM.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/FinancialStatement-2026-I-BRAM.xlsx","1. SP Penyampaian LK 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/1.%20SP%20Penyampaian%20LK%2031%20Maret%202026.pdf","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/inlineXBRL.zip","BRAM CONSOLIDATED MAR 26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/BRAM%20CONSOLIDATED%20MAR%2026.pdf","FinancialStatement-2026-I-BRAM.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRAM/FinancialStatement-2026-I-BRAM.pdf","",""
"BREN","30 April 2026 |
								16:28","PT Barito Renewables Energy Tbk.","Signed - Surat Penyampaian LK BREN 2603.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/Signed%20-%20Surat%20Penyampaian%20LK%20BREN%202603.pdf","Signed - OJK Checklist - BREN 2603.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/Signed%20-%20OJK%20Checklist%20-%20BREN%202603.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/instance.zip","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/inlineXBRL.zip","FinancialStatement-2026-I-BREN.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/FinancialStatement-2026-I-BREN.xlsx","Final Report PT BREN Tbk - 31 Mar 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/Final%20Report%20PT%20BREN%20Tbk%20-%2031%20Mar%202026.pdf","FinancialStatement-2026-I-BREN.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BREN/FinancialStatement-2026-I-BREN.pdf"
"BRIS","12 Mei 2026 |
								21:07","PT Bank Syariah Indonesia (Persero) Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/inlineXBRL.zip","Checklist Bapepam Mar 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/Checklist%20Bapepam%20Mar%202026.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/instance.zip","PT Bank Syariah Indonesia Tbk 31Mar26.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/PT%20Bank%20Syariah%20Indonesia%20Tbk%2031Mar26.pdf","06.896-2.DIR-CFA.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/06.896-2.DIR-CFA.pdf","FinancialStatement-2026-I-BRIS.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/FinancialStatement-2026-I-BRIS.xlsx","FinancialStatement-2026-I-BRIS.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRIS/FinancialStatement-2026-I-BRIS.pdf"
"BRMS","30 April 2026 |
								18:48","Bumi Resources Minerals Tbk","inlineXBRL.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/inlineXBRL.zip","052 BRM LK Maret 26 Perubahan lebih dari 20 persen.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/052%20BRM%20LK%20Maret%2026%20Perubahan%20lebih%20dari%2020%20persen.pdf","instance.zip","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/instance.zip","Final Report PT BRM 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/Final%20Report%20PT%20BRM%2031%20Maret%202026.pdf","FinancialStatement-2026-I-BRMS.xlsx","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/FinancialStatement-2026-I-BRMS.xlsx","FinancialStatement-2026-I-BRMS.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/FinancialStatement-2026-I-BRMS.pdf","062 BRM Penyampaian LK 31 Maret 2026.pdf","https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202026/TW1/BRMS/062%20BRM%20Penyampaian%20LK%2031%20Maret%202026.pdf"
