,,figure,title,path,thesis_chapter,rq,source table,source page,,,,,,,Concatenated,Benchmark,Assessment,Explanations
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.11,Prompt missing-tone benchmark,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_11_docx_prompt_missing_tone_rate.png,Chapter 5 / 6,RQ6,prompt_stability_summary.csv,pages/6_2_Chapter_5_Discussion.py,Gap: Gap 3 (LLM output instability across prompt templates). This figure directly tests the prompt-induced variability Gap 3 identifies — and provides a clean empirical answer: structured prompts eliminate missing-tone failures entirely.,RQ: RQ6 (stability across cross-prompt configurations). Missing-tone rate is the most direct measure of prompt-level reliability.,Objective: Objective 6 (cross-prompt stability) and Objective 2 (tone-aware ABSA implementation). The near-zero missing-tone rates for designed prompts validate the prompt engineering component of Objective 2.,Contribution: Contribution 2 (seven-template prompt framework). This figure is the strongest direct evidence for Contribution 2's novelty claim — the template-wise stability results demonstrate that disciplined multi-template prompt design solves the instability problem Gap 3 identifies.,"A.11 – Prompt Missing-Tone Benchmark This matters because it directly validates one of your core design choices — that structured, purpose-built prompts are necessary for reliable tone extraction. The near-perfect missing-tone rate of data.md (1.000) versus near-zero rates for all six designed prompts is a clean experimental result. It demonstrates that the problem of missing tone is solvable through prompt engineering, not an inherent limitation of LLMs on this task. This is a practical contribution that practitioners building similar pipelines can directly use.","A.11 – Prompt Missing-Tone Benchmark Six structured prompts all achieved near-zero missing-tone rates (0.000), while data.md (the unstructured baseline) scored 1.000 — meaning it never returned a tone field. This is a strong validation result: all purpose-built tone prompts are structurally reliable. The insight is that missing-tone is a prompt-design problem, not a model problem, supporting the structured prompt design choice in RQ6.",A.11 – Prompt missing-tone benchmark,"Benchmark: For a structured extraction prompt designed specifically for tone classification, a missing-tone rate above 5% is considered a prompt design failure in LLM-based information extraction literature. Below 1% is production-acceptable.",Assessment: Outperformed substantially — all designed prompts achieve near-perfect scores.,Six prompts at 0.000 missing-tone rate against a 5% acceptable threshold is a strong validation result. This is one of the clearest outperformance findings in your entire thesis. The contrast with data.md (1.000 missing rate) functions as a negative control — it confirms the near-zero rates for designed prompts are not a measurement artefact but a genuine consequence of prompt structure. This result directly supports Contribution 2's novelty claim with clean empirical evidence.
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.12,Ontology mapped vs novel aspects,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_12_docx_ontology_mapped_vs_unmapped.png,Chapter 5 / 6,RQ4,ontology_coverage.csv,pages/6_2_Chapter_5_Discussion.py,Gap: Gap 1 (absence of sentence-level ESG evidence extraction) and Gap 5 (underdeveloped greenwashing detection). The 42% unmapped proportion means existing ESG frameworks are missing nearly half of the aspect vocabulary your corpus contains — a quantified version of the standardised annotation gap Gap 1 describes.,"RQ: RQ4 (weaknesses in ABSA extraction outputs). Unmapped aspects are a specific, quantifiable extraction weakness — the ontology cannot route them, so they accumulate in General→Misc.",Objective: Objective 4 (diagnostics for ABSA) and Objective 1 (OCR-to-record pipeline). The coverage gap is a diagnostic finding that feeds back into pipeline improvement.,"Contribution: Contribution 4 (ontology-based ABSA layer). The 139 novel aspects are the empirical justification for why Contribution 4's extensibility claim — ""designed to be extensible to additional frameworks and to accommodate multilingual alignment"" — is not just a design aspiration but a measured necessity.","A.12 – Ontology Mapped vs Novel Aspects This matters because it quantifies the gap between existing ESG ontologies and the actual vocabulary of Indonesian sustainability reports. 139 novel aspects out of 333 total (42%) is a substantial unmapped proportion — not a rounding error. This figure is the empirical justification for your RQ4 contribution: you are not proposing ontology extension as a theoretical exercise, you are responding to a documented coverage gap in your own data. Without this figure, the ontology extension argument would be speculative.","A.12 – Ontology Mapped vs Novel Aspects 139 novel/unmapped aspects vs 194 mapped to ontology out of 333 total unique aspects. The top unmapped candidates include missing (60), none (23), climate-d (8), and climate-d-s (4). The Indonesian-specific unmapped aspects (identifikasi risiko korupsi, kebijakan antikorupsi, etc.) each appear only once, confirming they are genuine long-tail aspects rather than noise. This feeds RQ4's ontology extension argument.",A.12 – Ontology mapped vs novel aspects,"Benchmark: In ontology coverage studies for specialised domains, a mapping rate of ≥80% against an established reference ontology is considered good coverage. Below 70% indicates significant domain gap.",Assessment: Underperformed relative to coverage benchmark.,"194/333 mapped = 58% mapping rate, well below the 80% threshold. This is an underperformance against standard ontology coverage benchmarks, but it is a productive underperformance — it quantifies the domain gap that justifies Contribution 4's ontology extension. The 139 novel aspects are not failures of the pipeline; they are evidence that GRI/SASB/TCFD and ClimateBERT ontologies have genuine Indonesian ESG coverage gaps. Framing this as a gap you discovered and partially addressed is stronger than framing it as a pipeline shortcoming."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.13,Human annotation agreement,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_13_docx_human_annotation_agreement.png,Chapter 5 / 6,RQ2,pilot_ground_truth_seed.csv + silver_tone_ground_truth.csv,pages/1_1_Ground_Truth_Workbench.py,"Gap: Gap 1 (absence of a standardised annotation schema and corpus). The 0 completed ground-truth labels means the ""standardized annotation schema and corpus"" Gap 1 calls for has been designed but not yet validated through independent human annotation.",RQ: RQ2 (define and validate a multi-dimensional annotation schema). The inter-annotator agreement component of RQ2 is the part this figure reveals as incomplete.,Objective: Objective 2 (evaluate ABSA using a bilingual corpus with gold-standard annotations). The gold-standard annotation evaluation is the component Objective 2 explicitly requires that has not yet been completed.,Contribution: Contribution 3 (tone-aware taxonomy). The annotation guidelines and openly accessible reference corpus Contribution 3 promises as deliverables are still pending — this figure makes that gap visible and positions it as future work.,"A.13 – Human Annotation Agreement This matters precisely because it reveals a limitation you need to be transparent about. The 0 completed ground-truth labels means your κ=0.788 is a proxy agreement measure, not a formal inter-rater reliability score from two independent human annotators. This distinction is critical for how you frame your validation claims in Chapter 5. If you do not address this directly, an examiner will. The figure makes the gap visible so you can engage with it honestly rather than having it surface as an unaddressed weakness.","A.13 – Human Annotation Agreement The backing table shows 0 completed ground-truth tone/ESG/aspect labels, with all 70 pilot seed rows still at needs_review status. The silver dataset has 5,444 rows with human-assigned labels (via the automated pipeline), but the formal human annotation exercise was not completed. This is an important transparency finding — your κ=0.788 comes from the proxy/pipeline agreement, not from two independent human raters completing the pilot set.",A.13 – Human annotation agreement,"Benchmark: The standard for publishable inter-annotator agreement in NLP annotation studies is Cohen's κ ≥0.70 (substantial agreement). For ESG-specific annotation with complex multi-dimensional schemas, κ ≥0.65 is sometimes accepted given task difficulty.",Assessment: Underperformed — formal inter-rater agreement is unmeasured.,"Your κ=0.788 is proxy-based (pipeline vs. rule system), not human vs. human. The 0 completed ground-truth annotations means the formal benchmark cannot currently be computed. This is the most significant validation gap in the thesis relative to standard NLP publication requirements. The honest positioning is: your proxy κ=0.788 exceeds the 0.70 threshold if accepted as a validity indicator, but it cannot be claimed as inter-annotator agreement without completed human annotation, which is future work."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.14,Repeated LLM runs,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_14_docx_repeated_llm_runs.png,Chapter 4 / 6,RQ6,model_stability_summary.csv + prompt_stability_summary.csv,pages/2_3_LLM_Background_Run_Monitor.py,"Gap: Gap 3 (LLM output instability). This figure documents the run-count evidence base for stability claims — unequal run counts across models means stability comparisons are not on equal footing, which is a methodological limitation Gap 3's ""systematic studies that quantify prompt-induced variability"" would need to address.",RQ: RQ6 (stability of ABSA outputs across cross-model configurations). The run distribution directly determines the statistical power of any stability claim.,Objective: Objective 6 (quantify output stability across multiple models). The run counts are the evidence base for stability metrics — insufficient runs mean insufficient evidence.,Contribution: Contribution 2 (seven-template prompt framework). The prompt-level run distribution feeds the template-wise ablation studies Contribution 2 requires for its evaluation metrics.,"A.14 – Repeated LLM Runs This matters because stability claims require volume. A model tested 776 times gives you genuine confidence intervals; a model tested twice does not. This figure matters for what it prevents you from claiming: you cannot make cross-model stability comparisons with equal confidence when run counts differ by two orders of magnitude. For Chapter 5/6, this shapes how you qualify your RQ6 stability findings — robust for high-run models, indicative only for low-run models.","A.14 – Repeated LLM Runs Documents run counts across all models and prompts, ranging from 776 runs (minimax) down to 2 (qwen). The distribution is highly uneven, meaning stability estimates are only robust for the high-run models. For Chapter 5/6 discussion: confidence intervals on tone consistency are valid for trinity-large-preview and minimax, but not for the others, which limits cross-model comparisons.",A.14 – Repeated LLM runs,"Benchmark: For statistical stability analysis, a minimum of 30 independent runs per configuration is the standard threshold for computing reliable confidence intervals. For coefficient of variation analysis, 50+ runs per configuration is preferable.","Assessment: Mixed — outperformed for high-run models, severely underperformed for low-run models.",minimax (776 runs) and trinity-large-preview (90 runs) both exceed the 30-run minimum. openai/gpt-oss-120b (20 runs) is below threshold — stability claims for this model are indicative only. qwen (2 runs) is unusable for stability analysis. The prompt-level distribution (15–20 runs per prompt) is borderline — above the absolute minimum but below the 50-run preferable threshold. This means prompt-level stability claims need to be qualified with wider confidence intervals than model-level claims.
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.15,ClimateBERT baseline,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_15_docx_climatebert_baseline.png,Chapter 5 / 6,RQ3,climatebert_proxy_agreement_summary.csv + climatebert_proxy_agreement_records.csv,pages/1_4_ClimateBERT_Record_Batch.py,Gap: Gap 2 (conflation of tone and sentiment) and Gap 5 (underdeveloped greenwashing detection). The near-identical commitment rates (34.6% vs 36.6%) combined with κ=0.645 shows both systems detect the same macro-pattern but disagree at record level — which is precisely the conflation-versus-discrimination problem Gap 2 describes.,RQ: RQ3 (do tone-based outputs differ meaningfully from ClimateBERT). This is the central empirical answer to RQ3 — the κ and agreement metrics are exactly what RQ3 asks for.,"Objective: Objective 3 (controlled comparison between tone-based ABSA and ClimateBERT labels). The Cohen's κ, concordance rates, and confusion matrices Objective 3 requires are all present in this figure's backing table.","Contribution: Contribution 5 (ClimateBERT comparison framework). The statistical analyses Contribution 5 promises as deliverables — Cohen's kappa, predictive validity analyses, calibration analyses across languages — are directly instantiated in this figure.","A.15 – ClimateBERT Baseline This is the single most important figure for your RQ3 argument. It matters because κ=0.645 against ClimateBERT, combined with nearly identical commitment rates (34.6% vs 36.6%), tells a nuanced story: both systems detect commitment-type language at similar corpus-level frequencies, but they disagree on which specific records are commitment-toned. This is not a failure of your pipeline — it is evidence that the two systems operationalise ""commitment"" differently. That difference is theoretically meaningful and directly publishable as a contribution.","A.15 – ClimateBERT Baseline The key numbers: percent_agreement = 83.7%, Cohen's κ = 0.645, tone_commitment_rate = 34.6%, climate_commitment_label_rate = 36.6%, majority_baseline_commitment_binary = 65.6%. The near-equal commitment rates (34.6% vs 36.6%) suggest both systems identify commitment-type language at similar frequencies, yet κ=0.645 indicates substantial disagreement at the record level. The majority baseline (65.6%) reminds you that a naive ""always predict commitment"" classifier would beat random — context for interpreting your κ.",A.15 – ClimateBERT baseline,"Benchmark: Cohen's κ ≥0.80 = strong agreement; 0.60–0.79 = moderate; below 0.60 = poor. For two systems measuring ostensibly related constructs, κ <0.60 suggests they are not measuring the same thing. Percent agreement ≥85% is the minimum acceptable for claim of convergent validity.","Assessment: Underperformed on κ, borderline on percent agreement — but strategically this is your key finding.","κ=0.645 falls in the moderate range, below the 0.80 strong threshold. Percent agreement at 83.7% is just below the 85% threshold for convergent validity. The majority baseline at 65.6% provides important context: a naive ""always predict commitment"" classifier would achieve 65.6% agreement with ClimateBERT — your pipeline at 83.7% substantially beats that baseline, showing it adds real signal. The κ underperformance relative to the strong threshold is the empirical anchor for your novel RQ3 finding — the systems measure related but distinct constructs, which is theoretically interesting rather than simply wrong."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.16,Ontology Extension Candidates,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_16_docx_ontology_extension_candidates.png,Chapter 5 / 6,RQ4,ontology_coverage.csv,pages/1_6_Ontology_Path_Viewer.py,Gap: Gap 1 (standardised annotation schema anchored to GRI/SASB/TCFD concepts) and Gap 5 (greenwashing detection adapted to Indonesian ESG reporting). Indonesian-specific governance aspects like anti-corruption and clean energy partnerships are not in any existing ESG ontology — their absence is both a Gap 1 schema problem and a Gap 5 greenwashing blind spot.,RQ: RQ4 (weaknesses in ABSA extraction and ontology gaps). The unmapped Indonesian aspects are quantified extraction weaknesses.,"Objective: Objective 4 (diagnostics framework identifying regulatory lexicon gaps). The Indonesian-specific aspects are precisely the ""language-specific lexical drift and regulatory lexicon gaps"" Objective 4's error taxonomy should capture.","Contribution: Contribution 4 (ontology-based ABSA layer). The extensibility design Contribution 4 claims is validated here — the named extension candidates give the ontology concrete new nodes to absorb, demonstrating that the ""extensible to accommodate multilingual alignment"" design claim maps onto real data.","A.16 – Ontology Extension Candidates This matters because it gives your ontology extension contribution concrete, named content. Aspects like identifikasi risiko korupsi, kebijakan antikorupsi, and kerja sama energi bersih are not abstract placeholders — they are real Indonesian ESG concepts appearing in real sustainability reports that no existing ontology covers. This figure turns your RQ4 contribution from a methodological claim (""we built an ontology mapping"") into a substantive one (""we identified specific gaps in ESG knowledge representation for the Indonesian context"").","A.16 – Ontology Extension Candidates Top unmapped aspects by record count are missing (80), none (23), climate-d (8), climate-d-s (4), climate (2), with Indonesian-specific candidates (identifikasi risiko korupsi, kerja sama energi bersih, etc.) each at 1 record. The insight: there is a meaningful long tail of Indonesia-specific governance and anti-corruption aspects that existing ESG ontologies (GRI, ClimateBERT) do not cover — the empirical basis for your ontology extension contribution in RQ4.",A.16 – Ontology Extension Candidates,"Benchmark: For a meaningful ontology extension contribution, identified candidates should be (1) domain-specific (not generic placeholders), (2) appearing with sufficient frequency to justify formalisation (typically ≥5 records), and (3) mappable to existing regulatory frameworks with modest effort.","Assessment: Underperformed on frequency threshold, outperformed on domain specificity.","Most Indonesian-specific candidates (identifikasi risiko korupsi, kerja sama energi bersih, etc.) appear only once — below the ≥5 record threshold for confident formalisation. The high-frequency unmapped entries (missing at 80, none at 23) are pipeline artefacts rather than genuine extension candidates. However, the domain specificity of the Indonesian governance and anti-corruption aspects is genuinely novel — these are concepts not covered by any existing ESG ontology, making them high-quality candidates even at low frequency. The practical implication: frequency-based filtering alone would discard the most valuable extension candidates."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.17,Ground truth scaffold coverage,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_17_docx_ground_truth_scaffold_coverage.png,Chapter 4,RQ2,tone_records_flat.csv + silver_tone_ground_truth.csv,pages/1_8_Ground_Truth_Output_Visualizer.py,Gap: Gap 4 (OCR quality in document pipelines) and Gap 1 (sentence-level evidence extraction). The >99.9% fill rate shows the extraction pipeline is not generating sparse output — which addresses the OCR propagation concern Gap 4 raises at the record-completeness level.,RQ: RQ1 (PDF-to-structured ESG transformation pipeline). Coverage completeness is a direct RQ1 output metric.,"Objective: Objective 1 (evaluate pipeline on fidelity of sentence segmentation and ESG-topic alignment). The fill-rate metrics are the fidelity evidence Objective 1 requires, though CER/WER remain unmeasured.","Contribution: Contribution 1 (end-to-end OCR-to-record ESG processing pipeline). This figure is direct evidence for Contribution 1's core claim — the pipeline produces complete, machine-readable records at scale. It partially satisfies the ""end-to-end regeneration fidelity"" evaluation metric Contribution 1 specifies.","A.17 – Ground Truth Scaffold Coverage This matters because it validates your data pipeline's completeness. A >99.9% fill rate across tone, ESG, and aspect fields means your extraction pipeline is not generating sparse or porous output — the silver dataset is effectively complete. For RQ1, this is direct evidence that the PDF-to-structured-record transformation works at scale. It also means that any downstream analysis on the silver dataset is not distorted by systematic missingness, which would otherwise be a major confound for all subsequent findings.","A.17 – Ground Truth Scaffold Coverage All major coverage counts converge around 5,442–5,444 out of 5,444 silver rows (>99.9% fill rate for tone_pred, ESG, and aspect fields). Only pilotrows at 70 and tone_records_flat at 332 are smaller subsets by design. This confirms the silver dataset is effectively complete — near-zero data loss in the extraction pipeline, which is a strong feasibility result for RQ1.",A.17 – Ground truth scaffold coverage,"Benchmark: For a production-quality NLP data pipeline, field completeness ≥95% is the minimum acceptable threshold. ≥99% is considered excellent and suitable for downstream model training.",Assessment: Outperformed — exceeds excellent threshold across all fields.,"tone_pred non-empty at 5,442/5,444 (99.96%), ESG non-empty at 5,436/5,444 (99.85%), aspect non-empty at 5,441/5,444 (99.94%) all exceed the 99% excellent threshold. This is the strongest outperformance finding in the entire pipeline evaluation — the extraction scaffold is effectively complete. The practical implication is that downstream analyses on the silver dataset are not distorted by systematic missingness, which is a prerequisite for all other results being interpretable. This result deserves prominent placement in Chapter 4 as direct evidence for Contribution 1."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.18,Pilot annotation completion,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_18_docx_pilot_annotation_completion.png,Chapter 4 / 5,RQ2,pilot_ground_truth_seed.csv + pilot_ground_truth_annotations.csv,pages/1_1_Ground_Truth_Workbench.py,"Gap: Gap 1 (standardised annotation schema and corpus). The incomplete pilot human annotation means the ""standardized corpus for Indonesian and English ESG disclosures"" Gap 1 calls for has not yet been produced — the infrastructure exists but the human validation is pending.",RQ: RQ2 (define and validate annotation schema) and RQ5 (reproducibility). The pilot completion status directly determines how strongly RQ2's validation claim can be made.,Objective: Objective 2 (evaluate ABSA using bilingual corpus with gold-standard annotations). The incomplete pilot is the gap in Objective 2's evaluation component.,Contribution: Contribution 3 (tone-aware taxonomy with openly accessible reference corpus). The reference corpus deliverable is the part of Contribution 3 that this figure shows as not yet complete — positioning it clearly as future work rather than a current deliverable.,"A.18 – Pilot Annotation Completion This matters because it contextualises the relationship between your automated silver labels and the planned human validation. The 70 pilot seed rows existing but remaining unreviewed tells you the annotation infrastructure is in place but the human validation step was not completed within the thesis timeline. This is important for positioning your thesis honestly: you have a fully functional annotation platform and a silver dataset, but the formal human validation study is future work rather than a completed component of the current analysis.","A.18 – Pilot Annotation Completion Ground truth tone/ESG/aspect completions are at high rates for the automated silver labels, but the review_status column shows 70 rows still at needs_review and 5,374 at review_status: missing (meaning not yet assigned to review). This means the pilot human annotation exercise exists as a seed but has not been independently reviewed — a limitation acknowledged in A.13 and relevant to Chapter 5's validity discussion.",A.18 – Pilot annotation completion,Benchmark: A pilot annotation study should reach 100% completion of its seed set before inter-annotator agreement can be computed. 70 pilot records is the standard minimum for a reliable κ estimate in annotation studies.,Assessment: Underperformed — 0% completion of the pilot annotation task.,"The 70 pilot seed rows at 100% ""needs_review"" status means the benchmark cannot be computed at all from this data. The infrastructure is correctly designed (70 records is sufficient for a reliable κ estimate), but the human annotation step was not completed. This is the clearest binary underperformance in the thesis: the required task is defined, the data is prepared, but the execution did not happen. Positioning this honestly as the primary future work item for Chapter 6 is necessary."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.19,Ground truth tone comparison,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_19_docx_ground_truth_tone_comparison.png,Chapter 4 / 5,RQ2,silver_tone_ground_truth.csv + pilot_ground_truth_annotations.csv,pages/1_3_Ground_Truth_Metrics.py,Gap: Gap 2 (conflation of tone and sentiment) and Gap 1 (evaluation protocols for sentence-level aspect-sentiment associations). The confusion matrix is exactly the evaluation protocol Gap 1 calls for — it quantifies precision and recall patterns for tone classification at the record level.,RQ: RQ2 (validate annotation schema) and RQ4 (identify failure patterns in ABSA extraction). The confusion matrix is simultaneously a validation result for RQ2 and a diagnostic finding for RQ4.,"Objective: Objective 2 (evaluate ABSA with precision/recall per aspect) and Objective 4 (quantify failure modes with interpretable metrics). The none/action confusion boundary identified here is exactly the ""per-sentence error taxonomy"" Objective 4 requires.",Contribution: Contribution 3 (tone taxonomy) and Contribution 6 (explainability outputs). The confusion boundary between none and action is the most informative signal for where the lexical trigger repository needs strengthening — making this figure directly actionable for Contribution 6's explainability toolkit.,"A.19 – Ground Truth Tone Comparison This matters because it is your pipeline's confusion matrix — the most direct measure of tone prediction quality. The strong diagonal shows the pipeline has genuine discriminative power, not just label distribution matching. The none/action confusion boundary is the most informative error pattern: it tells you the pipeline struggles most when text is neutral-descriptive but contains action-adjacent vocabulary. This is a precise, actionable finding for future pipeline improvement, and it honestly characterises where your RQ2 tone labels are most uncertain.","A.19 – Ground Truth Tone Comparison The confusion matrix for tone prediction vs ground truth shows strong diagonal dominance: action→action (1,165), commitment→commitment (820), outcome→outcome (934), none→none (1,781). Off-diagonal notable errors: none is confused with action (223→action) and commitment (139→commitment), which makes semantic sense — neutral descriptions can be misread as action statements. Overall, the pipeline has good tone discrimination with the main confusion zone around the none/action boundary.",A.19 – Ground truth tone comparison,"Benchmark: For a multi-class tone classifier, diagonal dominance (correct classification rate per class) should exceed 70% for each class to be considered a reliable classifier. An overall accuracy above 80% is the standard minimum for an ABSA system in publication-quality work.","Assessment: Outperformed for most classes, borderline for ""none.""","Action: 1,165/(1,165+20+2+25) = 94.8% — outperforms threshold strongly. Commitment: 820/(820+21+9+58) = 90.3% — outperforms. Outcome: 934/(934+101+14+53) = 85.8% — outperforms. None: 1,781/(1,781+223+139+78) = 81.9% — meets minimum threshold but is the weakest class. The none/action confusion (223 none records misclassified as action) is the most important error — it means the pipeline has a 10.2% false-action rate on genuinely neutral text, which inflates the actionability of ESG language. This is a precisely quantified weakness for Chapter 5's limitation discussion."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.20,ground_truth.py T2 tone outputs,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_20_docx_ground_truth_t2_outputs.png,Chapter 4,RQ2,t2_flat_outputs.csv + t2_results.jsonl,pages/1_9_Ground_Truth_Pipeline_Output_Visualizer.py,"Gap: Gap 3 (LLM output instability) and Gap 2 (conflation of tone and sentiment). The 85% unknown rate reveals a conservatism pattern — the hybrid system abstains rather than conflates, which is the correct behaviour given Gap 2's concerns but creates a coverage problem.",RQ: RQ4 (weaknesses in ABSA extraction outputs) and RQ6 (stability across configurations). The unknown dominance is both an extraction weakness and a stability signal.,Objective: Objective 4 (diagnostics framework) and Objective 6 (ensemble strategies). The high unknown rate is a diagnostic finding that directly motivates the self-consistency and majority-voting ensemble strategies Objective 6 proposes.,"Contribution: Contribution 2 (prompt-driven extraction framework) and Contribution 6 (explainability). The abstention behaviour of the hybrid resolver is relevant to Contribution 6's ontology-path visualisation — paths that terminate at ""unknown"" need richer lexical trigger coverage to be resolved.","A.20 – T2 Tone Outputs This matters because it reveals what happens when you apply the ABSA hybrid resolver to the pilot set. The 85% unknown rate is not a failure — it is a calibration signal. It tells you the hybrid resolver is conservative, preferring abstention over confident misclassification. For Chapter 5, this matters because it means the pilot tone labels that are not ""unknown"" are likely high-quality, while the unknown mass represents records where the system correctly recognises it does not have enough signal to classify. This is desirable behaviour for a research tool, but it needs to be explained rather than left as an apparent coverage gap.","A.20 – ground_truth.py T2 Tone Outputs The hybrid ABSA output distribution for the pilot T2 run: Unknown (1,770) dominates — about 85% of records — with Commitment (117), Action (95), Outcome (89), missing (3) as the remainder. The high ""Unknown"" rate in the pilot suggests the rule-based hybrid tone resolver defaults to unknown when sentiment and rule signals conflict, rather than making a forced choice. This is relevant to your discussion of pipeline conservatism vs. coverage tradeoffs.",A.20 – ground_truth.py T2 tone outputs,"Benchmark: For an ABSA system designed to classify tone, an abstention rate (unknown/unclassified) above 50% indicates the system is not fit for purpose as a classifier. Below 20% abstention is considered acceptable.",Assessment: Severely underperformed — 85% abstention rate far exceeds acceptable threshold.,"1,770 unknown out of 2,074 total (85.3%) is well above the 50% unfit-for-purpose threshold. However, the important context is that this is the pilot T2 run on a small subset, not the full silver dataset. The T2 hybrid resolver is not the primary classification pathway — the silver dataset uses a different extraction route. Positioned correctly, this is a diagnostic finding about a specific pipeline component rather than the overall system's abstention rate. The 15% classified with non-unknown tones can be treated as a high-precision subset if the unknown assignments are genuinely conservative rather than erroneous."
,https://esg-thesis.darisdzakwanhoesien.site/4_ch4-6,A.21,PDF × Prompt coverage matrix,/home/ubuntu/apps/benchmarks/new_page/results/ch4_6_frozen_analysis/graphs/A_21_docx_pdf_prompt_matrix.png,Chapter 4 / 6,RQ1 / RQ6,esg_records.json + tone_records_flat.csv,pages/3_0_Thesis_Action_Plan.py,"Gap: Gap 4 (OCR quality neglect) and Gap 1 (sentence-level extraction). The coverage imbalance across companies — Alfamart at 1,444 records versus Indonet at 60 — is partly a document quality and OCR problem, exactly what Gap 4 identifies as a neglected pipeline issue.",RQ: RQ1 (PDF-to-structured transformation pipeline) and RQ6 (stability across configurations). The per-document coverage variation is a pipeline completeness metric for RQ1 and a stability confound for RQ6.,Objective: Objective 1 (evaluate pipeline across 60–100 document samples) and Objective 6 (stability metrics). The matrix is the empirical basis for reporting extraction variance across documents.,Contribution: Contribution 1 (OCR-to-record pipeline) and Contribution 2 (seven-template prompt framework). Coverage imbalances reveal which documents and prompt combinations are underperforming — directly feeding the template-wise ablation studies Contribution 2's evaluation requires.,"A.21 – PDF × Prompt Coverage Matrix This matters because it surfaces a hidden source of bias in your corpus: coverage is highly unequal across companies. Alfamart's 1,444 records versus Indonet's 60 means any company-level comparison is working with vastly different statistical power. Without this figure, you might make cross-entity claims that are actually driven by corpus size differences rather than genuine ESG disclosure differences. The matrix makes this confound visible so you can control for it in your Chapter 4 and 5 interpretations.","A.21 – PDF × Prompt Coverage Matrix Alfamart leads with 1,444 records, followed by Wika Beton (1,039) and SR-Bank-Aladin-Syariah (852). Most PDFs show 0 in the ""data"" column (meaning data.md prompt yielded no structured output), confirming A.11's finding. Indonet-Annual-Report-2022 is the only document with non-zero data column records (60), possibly because it has more English content. The matrix demonstrates uneven coverage across companies — some PDFs are far more extraction-friendly than others, a data quality note for RQ1.",A.21 – PDF × Prompt coverage matrix,"Benchmark: For a multi-document extraction study claiming cross-entity comparability, the coefficient of variation in records per document should be below 50%. Above 100% indicates coverage is too unequal for meaningful comparison.",Assessment: Severely underperformed on coverage equality.,"Alfamart (1,444 records) versus Indonet (60 records) is a 24:1 ratio — coefficient of variation far exceeds 100%. This means the corpus is dominated by a handful of high-coverage documents, and any corpus-level statistics are heavily weighted toward those companies. The data.md column showing 0 for all except Indonet (60) is a separate underperformance signal — the unstructured baseline prompt failed for 15 of 16 documents, confirming A.11's finding but also revealing that Indonet's data.md records may be anomalous rather than representative of the unstructured prompt's capability."
